"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="2323","中環","市","11/11","11.95","+0.15","+1.27","10","109","108.9","130","45.9","32.7","有","","有","有","","","光電業","翁明顯","關山孝行"
="2349","錸德","市","11/11","13.6","-0.4","-2.86","10","69.4","69.37","94.3","35.9","28.6","","","","","","","光電業","葉垂景","王鼎章"
="2374","佳能","市","11/11","47.1","-1.05","-2.18","10","28.9","28.94","136","59.5","29.8","","","有","有","","","光電業","曾明仁","章孝祺"
="2393","億光","市","11/11","85.8","+1.3","+1.54","10","44.3","44.34","380","41.5","25","有","","有","","","","光電業","葉寅夫","葉寅夫"
="2406","國碩","市","11/11","17.85","+0.1","+0.56","10","35.1","35.09","62.6","27.6","24.5","","","有","有","","","光電業","陳繼明","鍾高原"
="2409","友達","市","11/11","16.2","-0.2","-1.22","10","770","769.9","1,247","28.3","24.2","有","有","有","","","","光電業","彭又又浪","柯富仁"
="2426","鼎元","市","11/11","20.75","-1","-4.6","10","30.1","30.06","62.4","37.6","26","","","","有","","","光電業","蘇峯正","李榮寰"
="2429","銘旺科","市","11/11","30.2","+0.25","+0.83","10","8.55","8.55","25.8","46","25.6","","","","","有","","光電業","周維昆","曾心潔"
="2438","翔耀","市","11/11","45.5","+2.1","+4.84","10","6.52","6.52","29.7","42.8","27.9","","","","","有","","光電業","林以山","林以山"
="2466","冠西電","市","11/11","34.75","-0.05","-0.14","10","17.1","17.15","59.6","43.5","23.2","","","","","有","","光電業","謝淑娟","黃琮善"
="2486","一詮","市","11/11","119","-7.5","-5.93","10","23.4","23.4","278","47.2","24.6","","","有","","","","光電業","周萬順","周萬順"
="2489","瑞軒","市","11/11","20.35","-0.45","-2.16","10","68","68","138","30.3","25.1","有","","有","有","","","光電業","吳春發","吳旭軒"
="2491","吉祥全","市","11/11","13.5","-0.1","-0.74","10","8.2","8.2","11.1","29.6","24.7","","","","","","","光電業","陳碧華","羅光偉"
="3008","大立光","市","11/11","2305","0","0","10","13.3","13.35","3,076","37.6","22.7","有","有","有","","","","光電業","林恩平","黃有執"
="3019","亞光","市","11/11","108.5","+3","+2.84","10","27.9","27.92","303","44.1","24","有","","有","","","","光電業","賴以仁","林泰朗"
="3024","憶聲","市","11/11","19.2","+0.65","+3.5","10","27.7","27.72","53.2","48.3","26.5","","","","有","","","光電業","彭亭玉","彭秀雲"
="3031","佰鴻","市","11/11","21.05","-0.25","-1.17","10","17.3","17.32","36.5","43.5","23.6","","","","","","","光電業","廖宗仁","廖宗仁"
="3038","全台","市","11/11","26.85","-0.15","-0.56","10","15.7","15.74","42.3","30.1","23.6","","","","","","","光電業","曾瑞銘","王臺光"
="3049","精金","市","11/11","11.35","-0.1","-0.87","10","80.2","80.2","91","25.2","22.1","","","有","有","","","光電業","馬維欣","馬維欣"
="3050","鈺德","市","11/11","18.4","-0.25","-1.34","10","15.5","15.5","28.5","30.5","22","","","","","","","光電業","楊慰芬","羅宜富"
="3051","力特","市","11/11","31.2","-0.3","-0.95","10","17","17","53","26.7","22","","","","有","有","","光電業","趙寄蓉","趙輝生"
="3059","華晶科","市","11/11","33.85","0","0","10","27.9","27.88","94.4","27.9","21.9","","","有","","","","光電業","夏汝文","高楨輝"
="3149","正達","市","11/11","36.45","-2.1","-5.45","10","18.6","18.53","67.6","28.4","13","","","","有","有","","光電業","鍾志明","鍾志明"
="3168","眾福科","市","11/11","50.1","+0.5","+1.01","10","7.81","7.81","39.1","27","0.63","","","","","","","光電業","黃漢州","俞思平"
="3356","奇偶","市","11/11","63.5","-1.8","-2.76","10","7.99","7.99","50.8","26.8","19.6","","","","有","","","光電業","戴光正","王有傳"
="3406","玉晶光","市","11/11","446.5","+1.5","+0.34","10","11.3","11.27","503","34.8","18.9","有","","有","","","","光電業","陳天慶","郭英理"
="3437","榮創","市","11/11","24.7","-0.05","-0.2","10","14.5","14.45","35.7","25.1","10.3","","","","","","","光電業","方榮熙","方榮熙"
="3454","晶睿","市","11/11","133.5","+5","+3.89","10","8.66","8.66","116","24.8","18.3","","","有","","","","光電業","羅永堅","廖禎祺"
="3481","群創","市","11/11","15.85","-0.25","-1.55","10","799","798.9","1,266","21.8","18.1","有","有","有","","","","光電業","洪進揚","楊柱祥"
="3504","揚明光","市","11/11","61.6","+0.9","+1.48","10","11.4","11.41","70.3","22.7","17.8","","","有","","","","光電業","林惠姿","張雅容/林威嶧"
="3535","晶彩科","市","11/11","55","-2.6","-4.51","10","7.91","7.91","43.5","24.7","16.8","","","","","","","光電業","陳永華","陳永華"
="3543","州巧","市","11/11","22.4","-0.1","-0.44","10","8.93","8.93","20","24.4","4.58","","","","","","","光電業","李樹裔","徐文茂"
="3563","牧德","市","11/11","387","+2","+0.52","10","5.81","5.81","225","26.4","13.9","","","有","","有","","光電業","汪光夏","陳復生"
="3576","聯合再生","市","11/11","10.8","-0.3","-2.7","10","163","162.8","176","19.2","15.8","","","","","有","","光電業","洪傳獻","洪傳獻(暫代執行長)"
="3591","艾笛森","市","11/11","25.25","-0.45","-1.75","10","14.4","14.36","36.3","23.1","14","","","","有","","","光電業","吳建榮","吳建榮"
="3622","洋華","市","11/11","68.6","+3.4","+5.21","10","15.1","15.13","104","22.3","15.6","","","有","","","","光電業","白志強","許益川"
="3673","TPK-KY","市","11/11","41.05","-0.85","-2.03","10","40.7","40.67","167","19","14","有","","有","有","","","光電業","江朝瑞","謝立群"
