"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="2301","光寶科","市","11/11","109","+4","+3.81","10","235","234.7","2,559","35.7","29","有","","有","","","","電腦及週邊設備業","宋明峰","邱森彬"
="2305","全友","市","11/11","17.95","-0.1","-0.55","10","20.6","20.57","36.9","44.1","36.1","","","","","","","電腦及週邊設備業","吳金來","謝靜慧"
="2324","仁寶","市","11/11","37.5","-0.05","-0.13","10","441","440.7","1,653","40.5","32.7","有","有","有","","","","電腦及週邊設備業","陳瑞聰","Anthony Peter Bonadero"
="2331","精英","市","11/11","24.3","-0.25","-1.02","10","55.7","55.74","135","37.5","30.1","有","","有","","","","電腦及週邊設備業","王光祥","陳嘉生"
="2352","佳世達","市","11/11","36.8","-0.35","-0.94","10","197","196.7","724","40.6","28.3","有","","有","有","","","電腦及週邊設備業","陳其宏","黃漢州"
="2353","宏碁","市","11/11","39.6","-0.8","-1.98","10","305","304.8","1,207","48.3","28.2","有","有","有","","","","電腦及週邊設備業","陳俊聖","簡慧祥"
="2356","英業達","市","11/11","54.1","+1.7","+3.24","10","359","358.8","1,941","49.4","28","有","","有","","","","電腦及週邊設備業","葉力誠","蔡枝安"
="2357","華碩","市","11/11","614","-7","-1.13","10","74.3","74.28","4,561","34.6","28","有","有","有","有","","","電腦及週邊設備業","施崇棠","許先越/胡書賓"
="2362","藍天","市","11/11","56.9","-1.9","-3.23","10","63.2","63.23","360","41.1","27.6","","","有","","","","電腦及週邊設備業","許崑泰","蔡明賢"
="2364","倫飛","市","11/11","86.9","+1.2","+1.4","10","4.03","4.03","35","40.7","27.3","","","","","","有","電腦及週邊設備業","高育仁","高思復"
="2365","昆盈","市","11/11","45.1","-1","-2.17","10","22.2","22.15","99.9","41","27","","","有","","","","電腦及週邊設備業","卓世坤","李百祥"
="2376","技嘉","市","11/11","303","-2.5","-0.82","10","67","66.99","2,030","38.5","26.1","有","","有","有","","","電腦及週邊設備業","葉培城","李宜泰/林英宇"
="2377","微星","市","11/11","183","-1.5","-0.81","10","84.5","84.49","1,546","38.3","26","有","有","有","","","","電腦及週邊設備業","徐祥","黃金請"
="2380","虹光","市","11/11","6.3","0","0","10","21.7","21.69","13.7","33.6","25.9","","","","","有","","電腦及週邊設備業","盛少瀾","盛少瀾"
="2382","廣達","市","11/11","325","-3","-0.91","10","386","386.3","12,554","36.5","25.8","有","有","","","","","電腦及週邊設備業","林百里","梁次震"
="2387","精元","市","11/11","58.2","+2.2","+3.93","10","19.5","19.53","114","33.3","25.8","","","有","","","","電腦及週邊設備業","蔡火爐","李明擇"
="2395","研華","市","11/11","324","-9.5","-2.85","10","86.3","86.04","2,788","43.2","24.9","","","","","","","電腦及週邊設備業","劉克振","陳清熙、蔡淑妍、張家豪"
="2397","友通","市","11/11","78.1","-1.7","-2.13","10","11.4","11.45","89.4","43.3","24.8","","","有","","","","電腦及週邊設備業","陳其宏","田芝穎"
="2399","映泰","市","11/11","35.7","+0.55","+1.56","10","17.8","17.81","63.6","34.2","24.9","","","","","","","電腦及週邊設備業","王明義","王明正"
="2405","輔信","市","11/11","20.6","-0.1","-0.48","10","34.3","34.34","70.7","41.4","24.7","","","有","","","","電腦及週邊設備業","余麗娜","鄭瑋勳"
="2417","圓剛","市","11/11","40.5","-0.05","-0.12","10","15.8","15.76","63.8","34.8","27.5","","","有","","","","電腦及週邊設備業","郭重松","郭重松"
="2425","承啟","市","11/11","44","+0.55","+1.27","10","9.65","9.65","42.5","38","26.8","","","","","","","電腦及週邊設備業","高樹榮","高樹榮"
="2432","倚天酷碁-創","市","11/11","34.5","-0.1","-0.29","10","6.19","6.19","21.3","38.6","1.46","","","","","","","電腦及週邊設備業","高樹國","鍾逸鈞"
="2465","麗臺","市","11/11","78.1","+0.1","+0.13","10","8.39","8.39","65.6","38.1","23.2","","","","","有","","電腦及週邊設備業","盧崑山","盧崑山"
="2495","普安","市","11/11","37.85","-0.55","-1.43","10","27.4","27.36","104","31.8","22.6","","","有","","","","電腦及週邊設備業","羅仕東","羅仕東"
="3002","歐格","市","11/11","15.65","-0.3","-1.88","10","10.2","10.2","16","41.3","22.8","","","","","","","電腦及週邊設備業","李廣浩","李廣浩"
="3005","神基","市","11/11","117.5","+3","+2.62","10","61.2","61.18","719","35.1","22.7","有","","有","","","","電腦及週邊設備業","黃明漢","黃明漢"
="3013","晟銘電","市","11/11","169","+11.5","+7.3","10","20.3","19.9","336","48.4","22.2","","","有","有","有","","電腦及週邊設備業","林木和","羅志吉"
="3017","奇鋐","市","11/11","687","0","0","10","38.3","38.33","2,633","32.9","22.1","有","","有","有","","","電腦及週邊設備業","沈慶行","沈慶行"
="3022","威強電","市","11/11","75","-2.4","-3.1","10","17.7","17.66","132","27.6","23.6","","","有","","","","電腦及週邊設備業","張明智","江重良"
="3046","建碁","市","11/11","56.4","+0.4","+0.71","10","7.84","7.84","44.2","27.9","24.2","","","","","","","電腦及週邊設備業","簡慧祥","王博修"
="3057","喬鼎","市","11/11","12.8","-0.3","-2.29","10","9.27","9.27","11.9","33.7","21.9","","","","有","有","","電腦及週邊設備業","李志恩","李志恩"
="3060","銘異","市","11/11","24.55","-1.95","-7.36","10","13.8","13.76","33.8","45.1","21.6","","","","","","","電腦及週邊設備業","謝錦興","謝錦興"
="3231","緯創","市","11/11","122","-1.5","-1.21","10","290","289.7","3,534","23.5","21.2","有","有","有","有","","","電腦及週邊設備業","林憲銘","林建勳"
="3416","融程電","市","11/11","149","+7","+4.93","10","7.97","7.97","119","28.8","17.1","","","有","","","","電腦及週邊設備業","呂谷清","林筠卿"
="3494","誠研","市","11/11","8.05","+0.02","+0.25","10","6.48","14.4","11.6","23.8","16.9","","","","有","有","","電腦及週邊設備業","光風投資有限公司代表人：黃茯","黃冠智"
="3515","華擎","市","11/11","234","+13.5","+6.12","10","12.4","12.39","290","22.5","17","","","有","","","","電腦及週邊設備業","童旭田","許隆倫"
="3652","精聯","市","11/11","40.1","-1.15","-2.79","10","7.51","7.51","30.1","16.8","15.2","","","","","","","電腦及週邊設備業","葉佳紋","徐志達"
="3701","大眾控","市","11/11","46.2","-1.4","-2.94","10","23.5","23.47","108","20.2","20.2","","","有","有","有","","電腦及週邊設備業","簡民智","簡民智"
="3706","神達","市","11/11","59.4","+5.4","+10","10","121","120.7","717","11.2","11.2","有","","有","","","","電腦及週邊設備業","苗豐強","何繼武"
="3712","永崴投控","市","11/11","57.6","+5.2","+9.92","10","24.6","24.62","142","6.1","6.12","","","有","","","","電腦及週邊設備業","郭台強","胡惠森"
="4916","事欣科","市","11/11","32","-3.55","-9.99","10","9.84","9.84","31.5","22.9","11","","","","有","","","電腦及週邊設備業","廖文嘉","嚴聰前"
="4938","和碩","市","11/11","100","+0.2","+0.2","10","266","266.4","2,664","17.4","14.4","有","","有","有","","","電腦及週邊設備業","童子賢","鄭光志/鄧國彥"
="5215","科嘉-KY","市","11/11","49.45","-0.1","-0.2","10","6.43","6.43","31.8","15.2","12.9","","","","","","","電腦及週邊設備業","林志峰","何和和"
="5258","虹堡","市","11/11","102","+5.4","+5.59","10","11","11","112","31.6","7.87","","","有","","","","電腦及週邊設備業","辛華熙","林鴻鈞"
="6117","迎廣","市","11/11","99.9","-1.6","-1.58","10","8.86","8.86","88.6","38.9","22.9","","","有","","","","電腦及週邊設備業","賴文賢","黃國輝"
="6128","上福","市","11/11","36.55","+0.35","+0.97","10","12.8","12.76","46.6","46.3","22.9","","","","","","","電腦及週邊設備業","王瑞宏","王瑞麒"
="6166","凌華","市","11/11","70.7","+0.7","+1","10","21.7","21.75","154","29.2","22.6","","","有","","有","","電腦及週邊設備業","劉鈞","黃怡暾"
="6206","飛捷","市","11/11","84.5","-4.4","-4.95","10","14.3","14.31","121","40.3","21.9","","","有","","","","電腦及週邊設備業","林大成","徐嘉宏"
="6230","尼得科超眾","市","11/11","215.5","-0.5","-0.23","10","8.63","8.63","186","50.9","21.8","","","有","","","","電腦及週邊設備業","三好昭宏","無"
="6235","華孚","市","11/11","73.2","+2.5","+3.54","10","19.4","19.35","142","70.8","21.7","","","有","","","","電腦及週邊設備業","蔡豐賜","甘錦添"
="6277","宏正","市","11/11","79.1","-0.1","-0.13","10","11.9","11.95","94.5","45.4","21","","","","","","","電腦及週邊設備業","陳尚仲","陳尚仲"
="6414","樺漢","市","11/11","318","+9.5","+3.08","10","13.7","13.7","436","25.3","10.6","有","","有","","有","","電腦及週邊設備業","朱復銓","蔡能吉"
="6579","研揚","市","11/11","123.5","-4","-3.14","10","16.9","16.9","209","14","7.23","","","有","","","","電腦及週邊設備業","莊永順","林建宏"
="6591","動力-KY","市","11/11","51.1","+0.5","+0.99","10","3.77","3.76","19.2","11","6.88","","","","有","","","電腦及週邊設備業","許文昉","許文昉"
="6669","緯穎","市","11/11","2085","+25","+1.21","10","18.6","18.58","3,875","12.7","5.63","有","","有","有","","","電腦及週邊設備業","洪麗寗","林威遠"
="6928","攸泰科技","市","11/11","61.2","+0.4","+0.66","10","8.6","8.6","52.6","13.4","0.49","","","","","","","電腦及週邊設備業","簡民智","徐靜珍"
="6933","AMAX-KY","市","11/11","273","-2.5","-0.91","10","4.18","4.17","114","2.9","1.01","","","","","","","電腦及週邊設備業","倪小菁","倪小菁"
="8114","振樺電","市","11/11","229","+20","+9.57","10","10.7","7.56","173","40.3","19.3","","","有","有","","有","電腦及週邊設備業","鄭傑文","陳茂強"
="8163","達方","市","11/11","46.75","+1.25","+2.75","10","28","28","131","27.5","17","有","","有","","","","電腦及週邊設備業","蘇開建","蔡耀坤"
="8210","勤誠","市","11/11","316.5","+26.5","+9.14","10","12.1","12.1","383","40.9","19.5","","","有","有","","","電腦及週邊設備業","陳美琪","執行長: 陳亞男 / 總經理: 許健南"
="9912","偉聯","市","11/11","12.3","0","0","10","5.47","5.47","6.72","46.5","32.3","","","","","","","電腦及週邊設備業","皮華中","趙欣媛"
