"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="2208","台船","市","11/11","17.75","-0.2","-1.11","10","127","127.4","226","51","15.9","","","","有","有","","航運業","黃正弘","蔡坤宗"
="2603","長榮","市","11/11","220.5","+2.5","+1.15","10","215","215","4,741","56.1","37.1","有","有","有","有","","","航運業","張衍義","吳光輝"
="2605","新興","市","11/11","27.35","+0.5","+1.86","10","58.5","58.54","160","56.7","34.9","有","","有","","","","航運業","許積皋","許積皋"
="2606","裕民","市","11/11","58.9","+2.2","+3.88","10","84.5","84.51","498","56.2","33.9","有","","有","有","","","航運業","徐旭東","王書吉"
="2607","榮運","市","11/11","31.65","+0.1","+0.32","10","107","106.7","338","51.1","33.9","","","有","","","","航運業","邱顯育","林振芳"
="2608","嘉里大榮","市","11/11","40.15","+0.25","+0.63","10","46.7","46.7","188","64.9","33.9","","","","","","","航運業","沈宗桂","財務暨行政總處：阮慧雯；營運總處：滕德昌"
="2609","陽明","市","11/11","71.8","+0.3","+0.42","10","349","349.2","2,507","51.9","32.6","有","","有","有","","","航運業","蔡豐明","白崑榮"
="2610","華航","市","11/11","23.4","+0.25","+1.08","10","605","605.2","1,416","65.2","31.7","有","","有","有","","","航運業","謝世謙","高星潢"
="2611","志信","市","11/11","23.25","-0.1","-0.43","10","18.9","18.9","43.9","51","31","","","","","","","航運業","黃春發","陳秀奇"
="2612","中航","市","11/11","45.7","+2.35","+5.42","10","19.7","19.75","90.3","46.8","30.1","","","有","有","","","航運業","彭士孝","戴聖堅"
="2613","中櫃","市","11/11","35.8","+0.3","+0.85","10","14.8","14.84","53.1","55","29.8","","","","","","","航運業","林宏年","吳清泉"
="2615","萬海","市","11/11","94.3","+0.6","+0.64","10","281","280.6","2,646","59.7","28.5","有","","有","有","","","航運業","久福花園股份有限公司","謝福隆"
="2617","台航","市","11/11","32.3","+0.65","+2.05","10","41.7","41.73","135","78.4","26.4","","","有","","","","航運業","劉文慶","仇忠林"
="2618","長榮航","市","11/11","39.25","+0.85","+2.21","10","540","540","2,120","35.6","25","有","有","有","有","","","航運業","林寶水","孫嘉明"
="2630","亞航","市","11/11","32","-0.4","-1.23","10","20.9","20.94","67","69.8","6.72","","","有","有","","","航運業","李偉賢","李偉賢"
="2633","台灣高鐵","市","11/11","28.8","0","0","10","563","562.8","1,621","26.5","8.05","有","","","有","有","","航運業","江耀宗","鄭光遠"
="2634","漢翔","市","11/11","46","+0.15","+0.33","10","94.2","94.19","433","28.4","10.2","有","","有","有","","","航運業","胡開宏","馬萬鈞"
="2636","台驊控股","市","11/11","86","+0.2","+0.23","10","14.3","14.34","123","37.8","15.6","","","有","有","","","航運業","顏益財","侯倬倫"
="2637","慧洋-KY","市","11/11","79","+2.8","+3.67","10","74.6","74.64","590","16.1","14","","","有","有","","","航運業","藍俊昇","藍俊昇"
="2642","宅配通","市","11/11","39.1","-2.5","-6.01","10","9.55","9.55","37.3","25.2","10.9","","","","","","","航運業","邱純枝","徐慶懿"
="2645","長榮航太","市","11/11","95.3","+0.8","+0.85","10","37.5","37.46","357","27","1.67","","","有","","","","航運業","黃南宏","李緯章"
="2646","星宇航空","市","11/11","27.4","-0.3","-1.08","10","301","300.9","824","6.5","0.05","","","","","","","航運業","張國煒","翟健華"
="5607","遠雄港","市","11/11","44.5","+0.2","+0.45","10","36.3","36.33","162","33.4","24.9","","","有","","","","航運業","葉鈞耀","賴嘉玲"
="5608","四維航","市","11/11","18.3","+0.4","+2.23","10","38.9","38.93","71.2","39.7","23.4","","","有","有","","","航運業","藍心琪","藍心琪"
="6753","龍德造船","市","11/11","114","-1.5","-1.3","10","11.3","11.31","129","48.5","1.68","","","有","有","","","航運業","黃守真","黃守龍"
="6757","台灣虎航-創","市","11/11","65","+2.2","+3.5","10","44.9","44.9","292","10.6","1.25","","","","","","","航運業","陳漢銘","張明瑋"
="8367","建新國際","市","11/11","48.65","-0.85","-1.72","10","8.77","8.77","42.7","35.6","6.17","","","","有","","","航運業","陳彥銘","柯勝鐘"
