"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="1301","台塑","市","11/11","46.5","-1.2","-2.52","10","637","636.6","2,960","70","60.3","有","有","有","有","","","塑膠工業","郭文筆","郭文筆"
="1303","南亞","市","11/11","42.4","-0.45","-1.05","10","793","793.1","3,363","66.2","57","有","有","有","有","","","塑膠工業","吳嘉昭","鄒明仁"
="1304","台聚","市","11/11","13.95","-0.45","-3.12","10","119","118.9","166","59.5","52.5","","","","有","","","塑膠工業","吳亦圭","吳培基"
="1305","華夏","市","11/11","15.55","-0.2","-1.27","10","58.1","58.11","90.4","60.5","51.7","","","有","","","","塑膠工業","吳亦圭","胡吉宏"
="1307","三芳","市","11/11","44.55","-2.5","-5.31","10","39.8","39.78","177","51.4","39","","","","","","","塑膠工業","林孟經","林至逸"
="1308","亞聚","市","11/11","20","+1.5","+8.11","10","59.4","59.37","119","47.8","38.4","","","","","","","塑膠工業","吳亦圭","吳培基"
="1309","台達化","市","11/11","17.7","-0.55","-3.01","10","39.8","39.76","70.4","64.6","38.4","","","有","","","","塑膠工業","吳亦圭","吳培基"
="1310","台苯","市","11/11","11.85","-0.25","-2.07","10","52.8","52.79","62.6","45","37.3","","","","","","","塑膠工業","林文淵","仲崇國"
="1312","國喬","市","11/11","11.95","-0.3","-2.45","10","113","110.7","132","51.1","35.9","有","","有","","","有","塑膠工業","邱德馨","曾嘉雄"
"1312A","國喬特","市","11/11","23.4","0","0","","","2","4.68","","35.9","","","","","","","塑膠工業","",""
="1313","聯成","市","11/11","11.05","-0.15","-1.34","10","137","136.6","151","48.2","35.6","","","","","","","塑膠工業","苗豐強","畢淑蒨"
="1314","中石化","市","11/11","8.09","0","0","10","378","378.5","306","55.3","33.3","有","","有","","","","塑膠工業","陳瑞隆","陳穎俊(代理)"
="1315","達新","市","11/11","70.7","-0.3","-0.42","10","9.91","9.91","70.1","58.1","32.5","","","","","","","塑膠工業","吳子聰","陳以千"
="1321","大洋","市","11/11","34","+0.1","+0.29","10","22.7","22.72","77.3","59.4","25.8","","","","","","","塑膠工業","陳欽明","陳欽明"
="1323","永裕","市","11/11","26.05","+1.75","+7.2","10","9.13","9.13","23.8","51.6","28.3","","","","","","","塑膠工業","王威程","王威程"
="1324","地球","市","11/11","12.9","-0.05","-0.39","10","7.51","7.51","9.69","59.9","26.9","","","","","","","塑膠工業","鈞鼎投資股份有限公司(代表人張德照)","黃林慶"
="1325","恆大","市","11/11","28.2","-0.55","-1.91","10","8.53","8.53","24","62.1","25.6","","","","","","","塑膠工業","黃美慧","黃美慧"
="1326","台化","市","11/11","37.15","-1.15","-3","10","586","586.1","2,177","59.7","39.9","有","有","有","有","","","塑膠工業","洪福源","呂文進"
="1337","再生-KY","市","11/11","6.96","-0.09","-1.28","10","26.9","26.9","18.7","14.8","13.2","","","","有","","","塑膠工業","丁金山","丁金礦"
="1340","勝悅-KY","市","11/11","10.15","-0.15","-1.46","10","15.3","15.29","15.5","12.4","10.8","","","","","","","塑膠工業","莊國清","莊輝煌"
="1341","富林-KY","市","11/11","68","0","0","10","5.29","5.29","35.9","8","5.89","","","","有","","","塑膠工業","王源林","王源林(暫代)"
="4306","炎洲","市","11/11","18.95","+0.15","+0.8","10","67.9","67.92","129","46.7","23.6","","","有","","","","塑膠工業","李志賢","方淑芬"
