"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="2101","南港","市","11/11","48.35","+1","+2.11","10","83.4","83.39","403","65.7","61","","","有","有","","","橡膠工業","郭林諒","林君穎"
="2102","泰豐","市","11/11","22.15","+0.2","+0.91","10","47.3","47.33","105","69","45.3","","","","","","","橡膠工業","郭林諒","鍾政諺"
="2103","台橡","市","11/11","23.9","+0.1","+0.42","10","82.6","82.57","197","51","42.1","","","","","","","橡膠工業","殷琪","蔡偉強"
="2104","國際中橡","市","11/11","15.25","-0.1","-0.65","10","98.5","98.47","150","51.4","38.3","","","","有","","","橡膠工業","辜公怡","黃柏松"
="2105","正新","市","11/11","46.25","+0.05","+0.11","10","324","324.1","1,499","54.9","36.9","有","","有","有","","","橡膠工業","陳榮華","李進昌"
="2106","建大","市","11/11","29.85","-0.05","-0.17","10","95.5","95.49","285","62.6","33.9","","","","","","","橡膠工業","楊啓仁","林建良"
="2107","厚生","市","11/11","25.9","+0.15","+0.58","10","30.4","30.36","78.6","61.8","32.7","","","","","","","橡膠工業","徐正材","徐正己"
="2108","南帝","市","11/11","35.3","-1.15","-3.16","10","49.2","49.24","174","45.8","32","","","","","","","橡膠工業","楊東源","許建祝"
="2109","華豐","市","11/11","18.1","+0.2","+1.12","10","27.9","27.93","50.6","65.5","26.4","","","","","","","橡膠工業","沈國榮","王嶠奇"
="2114","鑫永銓","市","11/11","95.1","+0.1","+0.11","10","7.8","7.8","74.2","55.2","18.1","","","","","","","橡膠工業","林季進","林季佑"
="6582","申豐","市","11/11","62.9","-2","-3.08","10","10.6","10.62","66.8","45.3","7.42","","","","","","","橡膠工業","許志民","許志民"
