"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="2347","聯強","市","11/11","72.4","+0.9","+1.26","10","167","166.8","1,208","36.2","28.9","有","","有","","","","電子通路業","苗豐強","杜書伍"
="2414","精技","市","11/11","38.4","+0.9","+2.4","10","16.2","16.17","62.1","45.7","26.8","","","","","","","電子通路業","葉佳紋","李盈芳"
="2430","燦坤","市","11/11","32.25","-0.15","-0.46","10","11.7","11.68","37.7","46","27.5","","","","","","","電子通路業","林技典","NA"
="3010","華立","市","11/11","125.5","+2.5","+2.03","10","25.9","25.08","315","56.1","24.1","","","有","","","","電子通路業","張尊賢","張尊賢"
="3028","增你強","市","11/11","32.1","+0.2","+0.63","10","23.5","23.41","75.2","42.1","24.1","","","","有","","","電子通路業","增寶科技投資股份有限公司(代表人:王濬智)","周俊光/周俊賢"
="3033","威健","市","11/11","34.9","-0.75","-2.1","10","46.2","42.84","150","47.8","24","","","有","","","","電子通路業","胡秋江","紀廷芳"
="3036","文曄","市","11/11","113","-1.5","-1.31","10","125","111.6","1,261","30.9","24.1","有","","有","","","有","電子通路業","鄭文宗","鄭文宗"
="3048","益登","市","11/11","36.95","-0.35","-0.94","10","27","26.98","99.7","28.3","22.1","","","有","","有","","電子通路業","曾禹旖","于俊潔"
="3055","蔚華科","市","11/11","69","-2.1","-2.95","10","11.5","11.5","79.3","36.9","21.9","","","有","","有","","電子通路業","秦家騏","楊燿州"
="3209","全科","市","11/11","40.1","+1.25","+3.22","10","23.2","23.24","93.2","33.6","20.6","","","有","有","","","電子通路業","吳堉文","謝宏昌"
="3312","弘憶股","市","11/11","68.8","-1.1","-1.57","10","16.3","16.26","112","29.1","19","","","有","有","","","電子通路業","葉佳紋","劉彥輝"
="3528","安馳","市","11/11","50.5","+0.2","+0.4","10","6.66","6.66","33.6","23.9","13.5","","","","","","","電子通路業","李瑞西","李瑞西"
="3702","大聯大","市","11/11","75.6","-1","-1.31","10","188","167.9","1,269","19","19","有","","有","","","有","電子通路業","黃偉祥","張蓉崗"
"3702A","大聯大甲特","市","11/11","51","+0.1","+0.2","","","20","102","","5.03","","","","","","","電子通路業","",""
="5434","崇越","市","11/11","318","+5","+1.6","10","18.9","18.87","600","34.7","24.5","","","有","","","","電子通路業","潘重良","曾海華及李正榮"
="6189","豐藝","市","11/11","85.7","+1.1","+1.3","10","21.8","21.55","185","38.5","22.2","","","有","有","","","電子通路業","陳澄芳","杜懷琪"
="6281","全國電","市","11/11","83.6","+0.3","+0.36","10","9.92","9.92","82.9","38.8","18.9","","","","","","","電子通路業","林政勲","林政勲"
="6776","展碁國際","市","11/11","57.9","+0.3","+0.52","10","8.16","8.16","47.2","46.9","3.62","","","","","","","電子通路業","陳俊聖","林佳璋"
="8070","長華*","市","11/11","52.9","-0.5","-0.94","1","7.03","68.94","365","35.5","21","","","有","有","","","電子通路業","洪全成","黃俊勲"
="8072","陞泰","市","11/11","27.95","-0.05","-0.18","10","8","8","22.4","28.4","21","","","","","","","電子通路業","陳世忠","陳世忠"
="8112","至上","市","11/11","63.6","-0.9","-1.4","10","55.3","52.01","331","37.7","20.8","有","","有","有","","有","電子通路業","葛均","葛均"
"8112A","至上甲特","市","11/11","43","+0.05","+0.12","","","3","12.9","","2.69","","","","","","","電子通路業","",""
