"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="2601","益航","市","11/11","8","+0.08","+1.01","10","82.5","82.48","66","61.1","59","","","","","","","貿易百貨業","郭人豪","郭人豪"
="2901","欣欣","市","11/11","28.6","+1.25","+4.57","10","7.3","7.3","20.9","53.6","48.5","","","","","","","貿易百貨業","尤志煌","孟正光"
="2903","遠百","市","11/11","26.15","+0.5","+1.95","10","142","141.7","371","57.2","46.1","","","","","","","貿易百貨業","徐旭東","徐雪芳"
="2905","三商","市","11/11","16.85","-0.05","-0.3","10","112","112.2","189","59.7","36.1","","","","有","","","貿易百貨業","陳翔立","陳翔立"
="2906","高林","市","11/11","18.1","-0.15","-0.82","10","20.9","20.91","37.9","55.5","34.9","","","","有","","","貿易百貨業","李忠良","李界羲"
="2908","特力","市","11/11","20.25","-0.15","-0.74","10","51","50.99","103","46.3","31.7","","","","","","","貿易百貨業","李麗秋","李麗秋董事長代理總經理"
="2910","統領","市","11/11","25.1","+0.1","+0.4","10","17.5","17.54","44","42.2","27.9","","","","","","","貿易百貨業","蘇建義","翁華利"
="2911","麗嬰房","市","11/11","9.31","0","0","10","10.5","10.51","9.79","51.4","27.8","","","","有","有","","貿易百貨業","林柏蒼","陳仁沛"
="2912","統一超","市","11/11","272","-1","-0.37","10","104","104","2,828","37.4","27.2","","","","","","","貿易百貨業","羅智先","黃瑞典"
="2913","農林","市","11/11","21.05","+0.35","+1.69","10","79","79","166","74.4","62.8","有","","有","","有","","貿易百貨業","吳清源","吳清源"
="2915","潤泰全","市","11/11","80","+2.4","+3.09","10","110","110.4","883","48.8","47.3","有","","有","","","","貿易百貨業","徐盛育","徐志漳"
="2929","淘帝-KY","市","11/11","12.55","-0.8","-5.99","10","10.9","10.95","13.7","12.1","10.9","","","","","","","貿易百貨業","周志鴻","莊凌鋒(暫代)"
="2939","永邑-KY","市","11/11","33.6","+0.1","+0.3","10","4.55","4.55","15.3","9.5","6.84","","","","","","","貿易百貨業","何孟弘","紀喬兒"
="2945","三商家購","市","11/11","41.2","+0.05","+0.12","10","6.75","6.75","27.8","11.8","2.95","","","","","","","貿易百貨業","陳翔玢","邱光隆"
="4807","日成-KY","市","11/11","32.85","+0.45","+1.39","10","3.84","3.84","12.6","10.1","7.38","","","","有","","","貿易百貨業","帕查拉蓬 拍奔順通(Phacharapon )","林如茵"
="5906","台南-KY","市","11/11","57.7","0","0","10","3.5","3.5","20.2","25.8","13.1","","","","","","","貿易百貨業","楊青峯","陳慧姝"
="5907","大洋-KY","市","11/11","11.9","-0.65","-5.18","10","19.6","19.55","23.3","18.2","12.4","","","","","","","貿易百貨業","郭人豪","黃清海"
="8429","金麗-KY","市","11/11","10.75","-0.35","-3.15","10","18.6","18.57","20","13.9","11.9","","","","","","","貿易百貨業","庄春龍","陳泓霖"
="8443","阿瘦","市","11/11","11.85","0","0","10","6.68","6.68","7.92","21.2","10.2","","","","","","","貿易百貨業","羅榮岳","郭欣怡"
