"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="1432","大魯閣","市","11/11","19.6","+0.2","+1.03","10","10.8","10.8","21.2","51.3","42.3","","","","","有","","運動休閒","林曼麗","王盈之"
="1598","岱宇","市","11/11","28.5","+0.3","+1.06","10","16.7","16.71","47.6","34.4","8.15","","","","","","","運動休閒","林佑穎","陳明男"
="1736","喬山","市","11/11","153.5","-17","-9.97","10","30.3","30.34","466","49.1","21.8","","","","有","","","運動休閒","羅崑泉","羅光廷"
="2762","世界健身-KY","市","11/11","97.7","+1.7","+1.77","10","11.2","11.25","110","11","0.8","","","","","","","運動休閒","柯約翰","柯約翰"
="4536","拓凱","市","11/11","211.5","-3.5","-1.63","10","9.08","9.08","192","44.3","11.1","","","有","","","","運動休閒","沈文振","沈貝倪"
="5306","桂盟","市","11/11","135","+2","+1.5","10","12.6","12.6","170","35.6","28.9","","","","有","","","運動休閒","吳盈進","吳瑞章"
="6670","復盛應用","市","11/11","315","+4","+1.29","10","13.5","13.4","422","14.2","5.9","","","有","","","","運動休閒","李亮箴","江慶生"
="6768","志強-KY","市","11/11","146.5","+6","+4.27","10","19.6","19.6","287","7.6","3.56","","","有","","","","運動休閒","陳維家","馬世正"
="6890","來億-KY","市","11/11","394.5","-8.5","-2.11","10","24.9","24.94","984","3.4","0.42","","","有","","","","運動休閒","鐘德禮","林昌永"
="8462","柏文","市","11/11","115","+1","+0.88","10","7.93","7.93","91.2","19.1","8.68","","","","有","","","運動休閒","陳尚義","林洵賢"
="8467","波力-KY","市","11/11","261","+0.5","+0.19","10","5.12","5.12","134","11.3","8.91","","","有","有","","","運動休閒","洪芳蘭","洪進山"
="8478","東哥遊艇","市","11/11","276.5","-1.5","-0.54","10","9.49","9.49","262","46.8","6.92","","","有","有","","","運動休閒","闕慶承","曾雄威"
="9802","鈺齊-KY","市","11/11","119","-1","-0.83","10","19.1","19.1","227","15","12.1","","","有","有","","","運動休閒","林文智","廖芳祝"
="9904","寶成","市","11/11","39.85","+0.65","+1.66","10","295","294.7","1,174","55.2","34.8","有","","有","","","","運動休閒","詹陸銘","盧金柱"
="9910","豐泰","市","11/11","142","-0.5","-0.35","10","98.7","98.75","1,402","53.3","32.7","","","","","","","運動休閒","王建弘","陳昭吉"
="9914","美利達","市","11/11","165.5","-10.5","-5.97","10","29.9","29.9","495","52.1","32.1","有","","有","","","","運動休閒","曾崧柱","曾上原"
="9921","巨大","市","11/11","166","-11.5","-6.48","10","39.2","39.21","651","52","29.9","","","有","","","","運動休閒","杜(糸秀)珍","劉湧昌"
