"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="1903","士紙","市","11/11","54.5","+0.2","+0.37","10","26","26","142","65.2","60.9","","","有","","","","造紙工業","臺實貿易股份有限公司","闕啟文"
="1904","正隆","市","11/11","23.45","-0.55","-2.29","10","111","110.8","260","65.8","53.2","有","","","","","","造紙工業","鄭人銘","張清標"
="1905","華紙","市","11/11","18.5","-0.05","-0.27","10","110","110.3","204","56.4","49.8","有","","有","","","","造紙工業","黃鯤雄","陳瑞和"
="1906","寶隆","市","11/11","15.15","-0.1","-0.66","10","15.1","15.1","22.9","59.5","48.5","","","","","","","造紙工業","李復元","田哲森"
="1907","永豐餘","市","11/11","31.25","0","0","10","166","166","519","74.7","47.7","有","","","","","","造紙工業","葉惠青","駱秉正"
="1909","榮成","市","11/11","13.1","-0.15","-1.13","10","133","132.8","174","46.7","39","有","","","有","","","造紙工業","鄭瑛彬","松村浩"
="6790","永豐實","市","11/11","47.5","-2.5","-5","10","26.7","26.71","127","38","3.12","","","","","","","造紙工業","何奕達","李宗純"
