"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="1603","華電","市","11/11","35.7","+0.9","+2.59","10","19.2","19.17","68.4","63.7","56.4","","","有","","","","電器電纜","陳亮吟","陳鶴原"
="1604","聲寶","市","11/11","28.45","+0.15","+0.53","10","38.4","38.42","109","62.2","53.9","","","","","","","電器電纜","財團法人陳茂榜工商發展基金會","許經朝"
="1605","華新","市","11/11","28.8","-1.35","-4.48","10","403","403.1","1,161","57.9","52","有","有","有","有","","","電器電纜","焦佑倫","潘文虎"
="1608","華榮","市","11/11","29.7","+0.15","+0.51","10","63.3","63.28","188","67.9","36.3","","","有","","","","電器電纜","王宏仁","黃華志"
="1609","大亞","市","11/11","45.95","+0.7","+1.55","10","77.4","77.37","355","62","35.9","有","","有","有","","","電器電纜","沈尚弘","沈尚宜"
="1611","中電","市","11/11","16.2","-0.2","-1.22","10","32.3","32.27","52.3","69.8","34.8","","","","","","","電器電纜","廖銘輝","翁慶典代理"
="1612","宏泰","市","11/11","34.95","-0.2","-0.57","10","31.6","31.61","110","56.3","31.5","","","有","","","","電器電纜","久疆投資股份有限公司","黎文斌"
="1614","三洋電","市","11/11","39.8","-0.2","-0.5","10","26.9","26.91","107","61.7","27.2","","","","","","","電器電纜","李文峰","李文琳"
="1615","大山","市","11/11","59.6","+0.7","+1.19","10","18.7","18.73","112","50.6","26.6","","","有","","","","電器電纜","蘇文彬","蘇文彬"
="1616","億泰","市","11/11","21.4","+0.3","+1.42","10","19.4","19.41","41.5","36.6","27.5","","","","","","","電器電纜","王銀河","張程浩(代理)"
="1617","榮星","市","11/11","19.5","-0.55","-2.74","10","16.8","15.88","31","53.3","26.5","","","","有","","","電器電纜","王東澤","邱守基"
="1618","合機","市","11/11","41.95","+1","+2.44","10","19.3","19.27","80.8","35.7","24.2","","","有","","","","電器電纜","楊碧綺","李新政"
="1626","艾美特-KY","市","11/11","15.05","-0.2","-1.31","10","15.3","15.28","23","20.7","11.6","","","","","","","電器電纜","史瑞斌","史瑞斌"
="4930","燦星網","市","11/11","31.15","-2.05","-6.17","10","8","8","24.9","15","14.4","","","","","","","電器電纜","林技典","NA"
="5283","禾聯碩","市","11/11","105","+1","+0.96","10","7.3","7.3","76.7","22.5","5.47","","","","","","","電器電纜","蔡柏毅","林欽宏"
