"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="2312","金寶","市","11/11","26.3","-0.95","-3.49","10","150","150.2","395","51.6","35","有","","有","","","","其他電子業","許勝雄","陳威昌"
="2317","鴻海","市","11/11","220","+2","+0.92","10","1,386","1,386","30,499","50.7","33.4","有","有","有","有","","","其他電子業","劉揚偉","劉揚偉"
="2354","鴻準","市","11/11","96.5","-0.8","-0.82","10","141","141.4","1,365","34.6","28.1","有","","有","","","","其他電子業","呂軍甫","陳國寶"
="2359","所羅門","市","11/11","143.5","-1","-0.69","10","17.1","17.15","246","34.5","27.9","","","有","","","","其他電子業","陳政隆","陳政隆"
="2360","致茂","市","11/11","456","+14","+3.17","10","42.5","42.53","1,939","40","27.9","有","","有","","","","其他電子業","黃欽明","黃欽明"
="2373","震旦行","市","11/11","67.6","-0.1","-0.15","10","23.6","23.62","160","61.3","33.3","","","","","","","其他電子業","袁蕙華","周銘中"
="2390","云辰","市","11/11","13.85","+0.15","+1.09","10","19.3","19.26","26.7","44.6","25.4","","","","","","","其他電子業","張姿玲","呂麗筑"
="2404","漢唐","市","11/11","346","-0.5","-0.14","10","19.1","19.06","659","42.2","26.7","有","","有","有","","","其他電子業","李惠文","待董事會委任後再另行公告"
="2423","固緯","市","11/11","42.8","-1.1","-2.51","10","14.5","14.5","62.1","49.2","24.2","","","","","","","其他電子業","林錦章","張朝明"
="2433","互盛電","市","11/11","50.5","0","0","10","14.4","14.45","73","40.2","25.4","","","","","","","其他電子業","廖慶章","翁國華"
="2459","敦吉","市","11/11","71.1","0","0","10","10.6","10.56","75.1","44.3","23.2","","","","","","","其他電子業","鍾元凱","鍾元凱"
="2461","光群雷","市","11/11","21.75","-0.05","-0.23","10","17.2","17.16","37.3","36.5","24.9","","","","有","","","其他電子業","郭維武","郭維武"
="2464","盟立","市","11/11","77","-0.7","-0.9","10","20.5","20.45","157","35.8","23.2","","","有","","","","其他電子業","孫弘","林世東"
="2474","可成","市","11/11","220","+4.5","+2.09","10","68","68.04","1,497","40","23.2","有","有","有","","","","其他電子業","洪水樹","洪天賜"
="2477","美隆電","市","11/11","31.8","-1.05","-3.2","10","15.9","15.86","50.4","51.8","24.7","","","","","","","其他電子業","吳明賢","吳堂誌"
="2482","連宇","市","11/11","29.3","0","0","10","7.79","7.79","22.8","41.1","23.2","","","","","","","其他電子業","羅鋇","羅鋇(暫代)"
="2488","漢平","市","11/11","51.4","+3.75","+7.87","10","8","8","41.1","55.6","23.2","","","","","","","其他電子業","劉深鏗","劉深鏗"
="3018","隆銘綠能","市","11/11","29.65","0","0","10","7.31","7.31","21.7","28.9","24","","","","","有","","其他電子業","許鑒隆","呂金晃"
="3030","德律","市","11/11","141.5","+1","+0.71","10","23.6","23.62","334","35.6","23.6","","","有","","","","其他電子業","陳玠源","陳玠源"
="3043","科風","市","11/11","30.25","+0.45","+1.51","10","3.9","3.9","11.8","37.6","23.6","","","","有","","","其他電子業","科飛投資股份有限公司","楊淑艷"
="3305","昇貿","市","11/11","68.6","-1.2","-1.72","10","13.4","13.42","92.1","46.6","19.4","","","有","有","","","其他電子業","李三蓮","李弘偉"
="3518","柏騰","市","11/11","31.35","+0.15","+0.48","10","9.7","9.7","30.4","29.1","17","","","","有","有","","其他電子業","黃逸駿","游秀屏"
="3617","碩天","市","11/11","317.5","+12","+3.93","10","9.17","9.1","289","27.4","14.9","","","有","","","","其他電子業","郭瑾","何濂洵"
="3665","貿聯-KY","市","11/11","573","+52","+9.98","10","18.5","16.34","936","24.5","13.6","","","有","有","","","其他電子業","梁華哲","鄧劍華"
="4588","玖鼎電力","市","11/11","83.2","-1.5","-1.77","10","4.29","4.29","35.7","19.4","0.79","","","","","","","其他電子業","陳展鵠","曾文良"
="5225","東科-KY","市","11/11","139","+2.5","+1.83","10","7.69","7.52","105","13.8","12","","","有","有","","","其他電子業","東科聲學股份有限公司","白錦蒼"
="6139","亞翔","市","11/11","221.5","-11","-4.73","10","23.3","23.3","516","45.9","22.8","有","","有","有","","","其他電子業","姚祖驤","蔣曉麟"
="6192","巨路","市","11/11","115","+2.5","+2.22","10","9.62","9.62","111","49.2","22","","","有","","","","其他電子業","林建國","周行"
="6196","帆宣","市","11/11","154","+3","+1.99","10","20.1","20.13","310","35.9","22.1","","","有","有","","","其他電子業","高新明","林育業"
="6201","亞弘電","市","11/11","56.5","-0.7","-1.22","10","8.92","8.92","50.4","43","21.9","","","","","","","其他電子業","黃晉益","許瑞峯"
="6215","和椿","市","11/11","62","-2.2","-3.43","10","8.28","8.28","51.3","44","21.9","","","","","","","其他電子業","程天縱","朱鋑隆"
="6283","淳安","市","11/11","30.55","+1.1","+3.74","10","14.8","14.79","45.2","28.8","21","","","","有","有","","其他電子業","秦榮華","陳世昌"
="6409","旭隼","市","11/11","1940","-55","-2.76","10","8.77","8.77","1,702","16.5","10.6","","","","","","","其他電子業","謝卓明","謝卓明"
="6438","迅得","市","11/11","214","-1","-0.47","10","7.53","7.53","161","25","7.55","","","有","有","有","","其他電子業","王年清","."
="6558","興能高","市","11/11","21.85","-0.15","-0.68","10","9.38","9.38","20.5","27.7","5.94","","","","有","有","","其他電子業","陳國鍾","謝祥豪"
="6658","聯策","市","11/11","102.5","-2.5","-2.38","10","3.29","3.29","33.7","22.5","1.03","","","","","","","其他電子業","林文彬","林文彬"
="6691","洋基工程","市","11/11","301.5","-3","-0.99","10","10.6","10.58","319","44.3","2.86","","","有","","","","其他電子業","劉士源","林鴻忠"
="6698","旭暉應材","市","11/11","40.45","-0.75","-1.82","10","6.64","6.64","26.9","17.5","4.97","","","","","","","其他電子業","趙勤孝","酈唯誠"
="6743","安普新","市","11/11","52","+1.5","+2.97","10","15","15","78","26.4","3.91","","","有","","","","其他電子業","黃常青","黃常青"
="6830","汎銓","市","11/11","194","+4.5","+2.37","10","5.18","5.18","100","19.3","2.2","","","有","","","","其他電子業","柳紀綸","柳紀綸"
="8021","尖點","市","11/11","36.05","-3.35","-8.5","10","14.2","14.22","51.3","28.6","19.9","","","","","","","其他電子業","林序庭","林若萍"
="8201","無敵","市","11/11","17.45","-0.35","-1.97","10","6.24","6.24","10.9","35.7","17","","","","","","","其他電子業","楊人捷","李圍正"
="8499","鼎炫-KY","市","11/11","115.5","+0.5","+0.43","10","4.15","4.15","47.9","11","6.97","","","","","","","其他電子業","傅青炫","傅秀月"
