"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="2855","統一證","市","11/11","27.15","+0.55","+2.07","10","146","145.6","395","35.9","25.7","","","","","","","證券業","林寬成","楊凱智"
="6005","群益證","市","11/11","22.3","+0.05","+0.22","10","217","217.1","484","36.4","29.2","有","","","","","","證券業","周秀真","李文柱"
="6024","群益期","市","11/11","57.2","-1.9","-3.21","10","21","21.04","120","27.7","15.5","","","","","","","證券業","賈中道","毛振華"
