"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="2701","萬企","市","11/11","12.75","-0.1","-0.78","10","45","45","57.4","66.7","59.6","","","","","","","觀光餐旅","蔡茂昌","吳雅珍"
="2702","華園","市","11/11","17.15","-0.05","-0.29","10","15.7","15.66","26.9","65.3","59.7","","","","","","","觀光餐旅","陳海尼","陳海尼"
="2704","國賓","市","11/11","58.7","-1.3","-2.17","10","36.7","36.69","215","62","42","","","有","","","","觀光餐旅","許育瑞","許家堯"
="2705","六福","市","11/11","18","+0.25","+1.41","10","19.1","19.13","34.4","56.8","35.9","","","","","有","","觀光餐旅","莊豐如","賴振融"
="2706","第一店","市","11/11","15","-0.25","-1.64","10","50","50","75","56.1","33.4","","","","","","","觀光餐旅","顧安生","徐小華"
="2707","晶華","市","11/11","200.5","0","0","10","12.7","12.74","255","48.4","26.7","","","有","有","","","觀光餐旅","潘思亮","吳偉正"
="2712","遠雄來","市","11/11","26.3","+0.05","+0.19","10","10.5","10.5","27.6","33.8","10.9","","","","","","","觀光餐旅","武祥生","沈建劭"
="2722","夏都","市","11/11","39","0","0","10","12.1","12.12","47.3","29.1","12.7","","","","","","","觀光餐旅","陳協同","王慶祺"
="2723","美食-KY","市","11/11","91.8","+0.1","+0.11","10","18","18","165","16.1","14","","","有","","","","觀光餐旅","吳政學","吳政學"
="2727","王品","市","11/11","237.5","+3","+1.28","10","8.45","8.45","201","30.9","12.7","","","有","有","","","觀光餐旅","陳正輝","陳正輝"
="2731","雄獅","市","11/11","127","0","0","10","9.33","9.33","118","47.4","11.1","","","有","有","","","觀光餐旅","王文傑","黃信川"
="2739","寒舍","市","11/11","52.8","+0.5","+0.96","10","9.15","9.15","48.3","24.8","8.49","","","","","","","觀光餐旅","蔡伯翰","蔡伯翰"
="2748","雲品","市","11/11","58.5","+0.5","+0.86","10","10.6","10.58","61.9","12","7.97","","","有","有","","","觀光餐旅","盛治仁","丁原偉"
="2753","八方雲集","市","11/11","151.5","-0.5","-0.33","10","6.65","6.65","101","24.8","3.18","","","有","","","","觀光餐旅","林欣怡","林欣怡"
="5706","鳳凰","市","11/11","60.6","+1.1","+1.85","10","8.11","8.11","49.1","67.5","23","","","","","","","觀光餐旅","張巍耀","卞傑民"
="8940","新天地","市","11/11","22.45","-0.2","-0.88","10","6.75","6.75","15.2","31.3","21.8","","","","","","","觀光餐旅","王玉雲","歐敏雄"
="9943","好樂迪","市","11/11","80.9","0","0","10","12.5","12.52","101","31.6","24","","","","","","","觀光餐旅","顏瓊章","李天行"
