"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="2880","華南金","市","11/11","25.5","-0.05","-0.2","10","1,378","1,378","3,514","22.9","22.9","有","有","有","有","","","金控業","陳芬蘭","李耀卿"
="2881","富邦金","市","11/11","91.7","-1.2","-1.29","10","1,527","1,367","12,531","22.9","22.9","有","有","有","有","","有","金控業","蔡明興","韓蔚廷"
"2881A","富邦特","市","11/11","62.7","0","0","","","60","376","","8.45","","","","","","","金控業","",""
"2881B","富邦金乙特","市","11/11","59.9","-0.1","-0.17","","","66.67","399","","6.56","","","","","","","金控業","",""
"2881C","富邦金丙特","市","11/11","52.7","0","0","","","33.33","176","","3.04","","","","","","","金控業","",""
="2882","國泰金","市","11/11","68.7","-0.8","-1.15","10","1,620","1,467","10,078","22.9","22.9","有","有","有","","","有","金控業","蔡宏圖","李長庚"
"2882A","國泰特","市","11/11","60.6","-0.1","-0.16","","","83.33","505","","7.82","","","","","","","金控業","",""
"2882B","國泰金乙特","市","11/11","58.8","-0.3","-0.51","","","70","412","","6.27","","","","","","","金控業","",""
="2883","凱基金","市","11/11","17.6","+0.35","+2.03","10","1,839","1,681","2,958","22.9","22.9","有","","有","有","","有","金控業","王銘陽","楊文鈞"
"2883B","凱基金乙特","市","11/11","8","+0.05","+0.63","","","158.2","127","","2.87","","","","","","","金控業","",""
="2884","玉山金","市","11/11","27.45","0","0","10","1,600","1,600","4,391","22.8","22.8","有","有","有","有","","","金控業","黃男州","陳茂欽"
="2885","元大金","市","11/11","32.95","-0.25","-0.75","10","1,294","1,294","4,265","22.8","22.8","有","有","有","有","","","金控業","申鼎籛","翁健"
="2886","兆豐金","市","11/11","39.2","+0.1","+0.26","10","1,483","1,483","5,815","22.8","22.8","有","有","有","有","","","金控業","董瑞斌","蕭玉美"
="2887","台新金","市","11/11","17.15","0","0","10","1,408","1,298","2,225","22.7","22.7","有","有","有","有","","有","金控業","吳東亮","林維俊"
"2887E","台新戊特","市","11/11","51","-0.1","-0.2","","","50","255","","7.76","","","","","","","金控業","",""
"2887F","台新戊特二","市","11/11","45.6","0","0","","","30","137","","5.85","","","","","","","金控業","",""
"2887Z1","台新己特","市","11/11","16.1","0","0","","","30","48.3","","2.3","","","","","","","金控業","",""
="2888","新光金","市","11/11","11.4","-0.05","-0.44","10","1,745","1,716","1,956","22.7","22.7","有","有","有","有","","有","金控業","魏寶生","陳恩光"
"2888A","新光金甲特","市","11/11","35.5","-0.05","-0.14","","","7.5","26.6","","5.01","","","","","","","金控業","",""
"2888B","新光金乙特","市","11/11","35.45","-0.05","-0.14","","","22.2","78.7","","4.19","","","","","","","金控業","",""
="2889","國票金","市","11/11","14.4","-0.2","-1.37","10","353","353.2","509","22.6","22.6","","","有","","","","金控業","魏啟林","陳冠舟"
="2890","永豐金","市","11/11","23","+0.25","+1.1","10","1,270","1,270","2,920","22.5","22.5","有","有","有","有","","有","金控業","陳思寬","朱士廷"
="2891","中信金","市","11/11","37.2","+0.3","+0.81","10","2,012","1,962","7,299","22.5","22.5","有","有","有","有","","有","金控業","顏文隆","高麗雪"
"2891B","中信金乙特","市","11/11","60.6","-0.1","-0.16","","","33.33","202","","6.8","","","","","","","金控業","",""
"2891C","中信金丙特","市","11/11","55.9","-0.1","-0.18","","","16.67","93.2","","5.52","","","","","","","金控業","",""
="2892","第一金","市","11/11","26.75","-0.05","-0.19","10","1,403","1,403","3,753","21.9","21.9","有","有","有","有","","","金控業","邱月琴","方螢基"
="5880","合庫金","市","11/11","25.35","+0.05","+0.2","10","1,522","1,522","3,859","13","13","有","有","有","","","","金控業","林衍茂","蘇佐政"
