"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="2616","山隆","市","11/11","20.75","-0.1","-0.48","10","13.7","13.73","28.5","48.6","27","","","","有","","","油電燃氣業","鄭人豪","蕭煒騰"
="6505","台塑化","市","11/11","45.6","-0.45","-0.98","10","953","952.6","4,344","32.6","20.9","有","","有","有","","","油電燃氣業","曹明","林克彥"
="8926","台汽電","市","11/11","43.7","+0.5","+1.16","10","73","73.03","319","32.5","24.5","","","有","","","","油電燃氣業","黃順義","陳意通"
="9908","大台北","市","11/11","30.3","+0.15","+0.5","10","51.6","51.64","156","60.1","33.8","","","","","","","油電燃氣業","吳東進","李振隆"
="9918","欣天然","市","11/11","40.8","-0.15","-0.37","10","18.1","18.05","73.7","53.5","30.6","","","","","","","油電燃氣業","陳何家","黃昆宗"
="9926","新海","市","11/11","52.7","-0.1","-0.19","10","18","17.95","94.6","58.4","26.6","","","","","","","油電燃氣業","林坤正","鄭嘉耘"
="9931","欣高","市","11/11","34.2","0","0","10","12","12.04","41.2","40.9","26","","","","","","","油電燃氣業","陳建東","王繼開"
="9937","全國","市","11/11","66.7","+0.7","+1.06","10","30.9","30.9","206","36.3","28.9","","","","","","","油電燃氣業","賴正時","蔡佳璋"
