"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="3130","一零四","市","11/11","219.5","+2","+0.92","10","3.32","3.32","72.9","31","18.7","","","","","","","數位雲端","楊基寬","黃于純"
="6165","浪凡","市","11/11","46.3","-0.4","-0.86","10","7.78","7.78","36","51.6","22.6","","","","","","","數位雲端","王冠中","王冠中"
="6689","伊雲谷","市","11/11","92","+0.8","+0.88","10","6.8","6.8","62.6","11.2","2.17","","","有","","","","數位雲端","蔡佳宏","林儀(執行長)"
="6902","GOGOLOOK-創","市","11/11","149","+3","+2.05","10","3.2","3.2","47.7","12.6","1.34","","","","","","","數位雲端","鄭勝丰","郭建甫"
="6906","現觀科","市","11/11","171","+3.5","+2.09","10","3.35","3.35","57.3","5.2","0.83","","","","","","","數位雲端","邱大剛","邱大剛"
="8454","富邦媒","市","11/11","376","+4","+1.08","10","25.2","25.24","949","20.1","9.9","有","","有","","","","數位雲端","蔡明忠","谷元宏"
="8487","愛爾達-創","市","11/11","68","-0.5","-0.73","10","2.65","2.65","18","24.6","0.63","","","","","","","數位雲端","陳怡君","陳怡君"
