"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="2427","三商電","市","11/11","27.65","+0.4","+1.47","10","19.7","19.68","54.4","47.9","24.2","","","","","","","資訊服務業","陳翔中","陳翔中"
="2453","凌群","市","11/11","55.4","-0.8","-1.42","10","10","10","55.4","49.3","23.5","","","","","","","資訊服務業","劉瑞復","劉瑞隆"
="2468","華經","市","11/11","22.9","-0.4","-1.72","10","7","7","16","47.6","24.9","","","","有","","","資訊服務業","蘇美春","唐宇華、楊正寧"
="2471","資通","市","11/11","48.5","+0.05","+0.1","10","4.73","4.73","22.9","43.9","23.2","","","","","","","資訊服務業","余宏揚","林青龍"
="2480","敦陽科","市","11/11","128.5","+0.5","+0.39","10","10.6","10.64","137","31.6","23.2","","","","有","","","資訊服務業","梁修宗","梁修宗"
="3029","零壹","市","11/11","103.5","+1","+0.98","10","16.7","16.7","173","44.4","24.8","","","有","","有","","資訊服務業","林嘉勲","陳鍵忠"
="4994","傳奇","市","11/11","102","-0.5","-0.49","10","6.64","6.64","67.7","22.8","12.9","","","有","","","","資訊服務業","張峰旗","張峰旗"
="5203","訊連","市","11/11","86.3","0","0","10","7.89","7.89","68.1","34.3","24.1","","","有","有","","","資訊服務業","黃肇雄","古媄君;林昭宏"
="6112","邁達特","市","11/11","46.3","+0.5","+1.09","10","18.8","18.84","87.2","26.6","23.3","","","有","","有","","資訊服務業","曾文興","曾文興"
="6183","關貿","市","11/11","81.7","-0.6","-0.73","10","15","15","123","28.3","22.5","","","","","","","資訊服務業","張陸生","高國峰"
="6214","精誠","市","11/11","141.5","+1.5","+1.07","10","27.2","27.23","385","27.8","21.9","","","有","有","","","資訊服務業","林隆奮","林隆奮"
