"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="1402","遠東新","市","11/11","35.45","-1","-2.74","10","535","535.3","1,898","70.8","57.6","有","有","有","有","","","紡織纖維","徐旭東","吳高山,鄭澄宇"
="1409","新纖","市","11/11","15.5","+0.05","+0.32","10","162","161.8","251","57.6","51.2","","","有","有","","","紡織纖維","吳東昇","歐金達"
="1410","南染","市","11/11","36.6","-0.1","-0.27","10","6.3","6.3","23.1","59.9","51.1","","","","","","","紡織纖維","何 鈞","何 鈞"
="1413","宏洲","市","11/11","9.64","-0.04","-0.41","10","13.2","13.21","12.7","56.3","48.9","","","","","有","","紡織纖維","詹正田","詹正田"
="1414","東和","市","11/11","22.85","-0.05","-0.22","10","22","22","50.3","65.2","48.8","","","","","","","紡織纖維","蔡淑櫻","張嘉亨"
="1417","嘉裕","市","11/11","10.05","+0.05","+0.5","10","19","18.99","19.1","54.9","47.9","","","","","","","紡織纖維","黃得超","陳盈璋"
="1418","東華","市","11/11","29.5","0","0","10","5.68","5.68","16.8","54.7","47.7","","","","","有","","紡織纖維","林壯儒","林壯燁"
="1419","新紡","市","11/11","46.4","+0.15","+0.32","10","30","30","139","69.4","47.7","","","","","","","紡織纖維","吳昕恩","邱錦發、張瑞南"
="1423","利華","市","11/11","38","-0.3","-0.78","10","9.96","9.96","37.9","60.3","45.6","","","","","","","紡織纖維","應柔爾","余美蘭"
="1434","福懋","市","11/11","20","+0.25","+1.27","10","168","168.5","337","51.6","38.9","","","","","","","紡織纖維","王文淵","李敏章"
="1440","南紡","市","11/11","15.25","-0.15","-0.97","10","166","165.7","253","69.6","35.1","有","","有","","","","紡織纖維","侯博明","王立範"
="1441","大東","市","11/11","15.15","-0.4","-2.57","10","7.17","7.17","10.9","66.7","35","","","","","有","","紡織纖維","陳修忠","陳建州"
