"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="1707","葡萄王","市","11/11","153","+2","+1.32","10","14.8","14.81","227","53.6","41.9","有","","","","","","生技醫療業","曾盛麟","曾盛麟"
="1720","生達","市","11/11","63.5","-0.5","-0.78","10","17.9","17.87","113","57.4","28.9","","","有","","","","生技醫療業","范滋庭","范滋庭"
="1731","美吾華","市","11/11","23.25","-0.2","-0.85","10","13.3","13.29","30.9","48.1","23.2","","","","有","","","生技醫療業","李成家","賴育儒"
="1733","五鼎","市","11/11","28.95","-0.25","-0.86","10","10","10","28.9","26.9","23.2","","","","","","","生技醫療業","沈燕士","沈燕士"
="1734","杏輝","市","11/11","30.65","+0.25","+0.82","10","18.1","18.11","55.5","47.4","24.1","","","","","","","生技醫療業","李志文","白友烺"
="1752","南光","市","11/11","44.15","+0.25","+0.57","10","10.1","10.1","44.6","51.2","15.3","","","","","","","生技醫療業","陳立賢","王玉杯"
="1760","寶齡富錦","市","11/11","94.4","+3.9","+4.31","10","8.57","8.57","80.9","48.9","6.81","","","有","","","","生技醫療業","張立秋","江宗明"
="1762","中化生","市","11/11","42","-0.6","-1.41","10","7.76","7.76","32.6","60.5","13.9","","","","","","","生技醫療業","王謝怡貞","魏慶鵬"
="1783","和康生","市","11/11","43.6","-0.2","-0.46","10","8.91","8.91","38.8","25.9","10.9","","","","","有","","生技醫療業","林詠翔","陳敬亭"
="1786","科妍","市","11/11","103.5","-2.5","-2.36","10","7.03","6.99","72.4","23","11","","","有","有","","","生技醫療業","韓開程","韓台賢"
="1789","神隆","市","11/11","23.75","+0.15","+0.64","10","79.1","79.07","188","27","13.1","","","","","","","生技醫療業","羅智先","盧麗安"
="1795","美時","市","11/11","290","+5","+1.75","10","26.6","26.57","770","58.4","14.8","有","","有","","","","生技醫療業","Vilhelm Robert Wessman","Petar Antonov Vazharov"
="3164","景岳","市","11/11","21.05","-0.35","-1.64","10","8.65","8.65","18.2","23.9","16.2","","","","","","","生技醫療業","陳根德","陳昱瑾"
="3705","永信","市","11/11","54.8","+0.5","+0.92","10","26.6","26.64","146","13.9","13.9","","","","","","","生技醫療業","李芳信","簡志維"
="3716","中化控股","市","11/11","37.95","-0.2","-0.52","10","14.9","14.9","56.6","0.2","0.2","","","","","","","生技醫療業","王謝怡貞","王厚凱(執行長)"
="4104","佳醫","市","11/11","87.5","+0.2","+0.23","10","16.3","16.34","143","36.7","23.4","","","","","","","生技醫療業","傅輝東","張明正"
="4106","雃博","市","11/11","25.1","-0.2","-0.79","10","10.1","10.09","25.3","34.7","22.8","","","","有","","","生技醫療業","雅勝 代表人:李永川","李永川"
="4108","懷特","市","11/11","17.2","-0.25","-1.43","10","19.9","19.86","34.2","26","22.5","","","","","有","","生技醫療業","李伊俐","李伊伶"
="4119","旭富","市","11/11","93.3","+2.9","+3.21","10","12","11.95","112","37.2","20.9","","","","","","","生技醫療業","翁維駿","周文智"
="4133","亞諾法","市","11/11","29.8","+0.2","+0.68","10","6.06","6.06","18","22.9","14.9","","","","","","","生技醫療業","黃韋伯","紀姵如"
="4137","麗豐-KY","市","11/11","129.5","-1.5","-1.15","10","8.25","8.25","107","12.4","11","","","","","","","生技醫療業","陳碧華","趙承佑"
="4142","國光生","市","11/11","23.6","-0.5","-2.07","10","43","42.95","101","58.9","12.5","","","","","","","生技醫療業","詹啟賢","留忠正"
="4148","全宇生技-KY","市","11/11","52.2","0","0","10","6.4","6.4","33.4","14.6","7.43","","","","有","","","生技醫療業","彭士豪","彭士豪"
="4155","訊映","市","11/11","24.05","+0.2","+0.84","10","14.7","14.71","35.4","20.1","6.94","","","","有","","","生技醫療業","賴家德","賴家德"
