"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="3708","上緯投控","市","11/11","103","+3.9","+3.94","10","10.6","10.63","110","8.2","8.2","","","有","有","","","綠能環保","蔡朝陽","蔡朝陽"
="5292","華懋","市","11/11","173.5","+3","+1.76","10","3.83","3.83","66.4","35.1","0.98","","","","","","","綠能環保","鄭石治","林國源"
="6581","鋼聯","市","11/11","116.5","-4","-3.32","10","11.1","11.13","130","29.5","6.79","","","","","","","綠能環保","林明儒","林才翔"
="6641","基士德-KY","市","11/11","39.5","-0.4","-1","10","3.7","3.7","14.6","11.1","6.15","","","","有","","","綠能環保","謝宏炅","陳世賢"
="6771","平和環保-創","市","11/11","58.2","-1.2","-2.02","10","3.12","3.12","18.1","18.3","0.49","","","","","","","綠能環保","吳明陽","黃弘傑"
="6806","森崴能源","市","11/11","128.5","+9","+7.53","10","22.1","22.08","284","17.5","2.99","","","","","","","綠能環保","郭台強","胡惠森"
="6869","雲豹能源","市","11/11","184","-5.5","-2.9","10","13.2","13.37","246","8.7","1.67","","","有","有","","","綠能環保","廖福生","趙書閔"
="6873","泓德能源","市","11/11","214","+5.5","+2.64","10","10.5","11.7","250","8.5","0.13","","","","","","","綠能環保","謝源一","周仕昌"
="6923","中台","市","11/11","90.4","+1.4","+1.57","10","9.19","9.19","83.1","23.5","0.13","","","","","","","綠能環保","鄭光傑","張啓達"
="6951","青新-創","市","11/11","71.5","+2.2","+3.17","10","4.6","4.6","32.9","25.4","0.4","","","","","","","綠能環保","張芳正","張財榮"
="6969","成信實業*-創","市","11/11","48.9","+0.9","+1.88","","5.49","3.81","18.7","5","0.18","","","","","","","綠能環保","陳鵬","謝雅敏"
="8341","日友","市","11/11","99.9","+3.8","+3.95","10","13","13","130","30","9.64","","","","","","","綠能環保","張芳正","張芳正"
="8422","可寧衛","市","11/11","183","-1","-0.54","10","10.9","10.92","200","25.5","13.1","","","","有","","","綠能環保","楊慶祥","楊永發"
="8438","昶昕","市","11/11","37","-0.45","-1.2","10","6.99","6.99","25.9","35.1","2.68","","","","","","","綠能環保","陳國金","陳彥亨"
="8473","山林水","市","11/11","39","-0.8","-2.01","10","17.5","16.27","63.5","20.4","8.18","","","","有","有","","綠能環保","郭又綺","吳人傑"
="8476","台境*","市","11/11","29.85","+0.45","+1.53","5","8.31","8.31","24.8","20.9","7.63","","","","","","","綠能環保","郭人豪","林睿達"
="9930","中聯資源","市","11/11","67.1","-0.2","-0.3","10","24.9","24.85","167","33.5","25","","","","","","","綠能環保","林宏達","黃祥亞"
="9955","佳龍","市","11/11","32.9","-0.45","-1.35","10","10.5","10.45","34.4","28.1","20.9","","","","","","","綠能環保","吳界欣","楊明曄"
