"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="1342","八貫","市","11/11","97.8","+0.4","+0.41","10","7.85","7.85","76.8","42.4","3.97","","","有","有","","","其他業","劉宗熹","劉宗熹"
="1416","廣豐","市","11/11","13","-0.4","-2.99","10","18.5","18.53","24.1","56.4","48.6","","","","","","","其他業","賀錫敬","黃麗玲"
="1435","中福","市","11/11","43.5","-0.6","-1.36","10","14","13.98","60.8","53.8","36.9","","","","","","","其他業","陳建","陸榮木"
="1437","勤益控","市","11/11","34.45","+0.2","+0.58","10","20.3","20.34","70.1","63.7","36","","","","","","","其他業","顧立楷","顧立楷"
="1443","立益物流","市","11/11","34","-0.6","-1.73","10","13.5","13.53","46","52","34.6","","","","","","","其他業","蘇東榮","蘇慶源"
="1516","川飛","市","11/11","18.3","-0.25","-1.35","10","3.88","3.88","7.1","38.7","29.6","","","","","","","其他業","謝縈俞","涂椽義"
="2348","海悅","市","11/11","158","+8","+5.33","10","18.2","15.19","240","37.3","28.9","","","有","","","有","其他業","黃希文","王俊傑"
"2348A","海悅甲特","市","11/11","35.1","+0.15","+0.43","","","3","10.5","","3.13","","","","","","","其他業","",""
="2496","卓越","市","11/11","77.6","+1.9","+2.51","10","1.91","1.91","14.8","33.4","22.7","","","","有","","","其他業","曾淑鈴","曾淑鈴"
="2514","龍邦","市","11/11","21.45","-0.1","-0.46","10","39.5","39.47","84.7","36.8","32.1","","","","有","","","其他業","劉偉龍","劉偉龍"
="2614","東森","市","11/11","18.5","-0.15","-0.8","10","30","30.02","55.5","49.5","29.1","","","","","","","其他業","廖尚文","廖尚文"
="2904","匯僑","市","11/11","18.35","+0.1","+0.55","10","7.78","7.78","14.3","46.1","41.9","","","","","","","其他業","廖述群","葉唐榮"
="3040","遠見","市","11/11","42","-0.75","-1.75","10","6.3","6.3","26.5","38.5","23.9","","","","","","","其他業","凌陽科技股份有限公司","蔡智杰"
="5284","jpp-KY","市","11/11","162","-2","-1.22","10","4.79","4.79","77.6","12.5","10.1","","","有","有","","","其他業","鍾國松","藺以權"
="5871","中租-KY","市","11/11","145","-4","-2.68","10","183","167.8","2,433","14.9","12.9","有","","有","有","","有","其他業","陳鳳龍","陳鳳龍"
"5871A","中租-KY甲特","市","11/11","97.1","+0.1","+0.1","","","15","146","","4.17","","","","","","","其他業","",""
="6184","大豐電","市","11/11","51.5","0","0","10","15.8","15.82","81.5","28.7","22.5","","","","有","","","其他業","張銘志","劉登榮"
="6464","台數科","市","11/11","80.4","-0.3","-0.37","10","12.6","12.56","101","18.3","8.91","","","","有","","","其他業","廖紫岑","廖紫岑"
="6504","南六","市","11/11","70.7","-0.2","-0.28","10","7.26","7.26","51.3","46","11.5","","","","","","","其他業","黃世鐘","黃世鐘"
="6585","鼎基","市","11/11","134","-9","-6.29","10","7.09","7.03","94.2","43.7","2.48","","","有","","","","其他業","林勳臺","林庚賢"
="6592","和潤企業","市","11/11","88.8","-2.1","-2.31","10","72.3","62.32","553","25.5","4.93","","","","有","","有","其他業","劉源森","林彥良"
"6592A","和潤企業甲特","市","11/11","94.9","0","0","","","5","47.4","","2.13","","","","","","","其他業","",""
="6625","必應","市","11/11","84.3","-1.2","-1.4","10","4.9","4.9","41.3","10.9","6.76","","","","","","","其他業","周佑洋","周佑洋"
