"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="1708","東鹼","市","11/11","42.1","+2.1","+5.25","10","24.9","24.9","105","67.7","38.4","","","有","","","","化學工業","陳榮元","劉志勇"
="1709","和益","市","11/11","22.15","-0.8","-3.49","10","47.7","47.7","106","51.4","38.4","","","有","有","","","化學工業","黃勝材","李宏德"
="1710","東聯","市","11/11","17.3","-0.5","-2.81","10","88.6","88.57","153","48.9","37.1","","","","","","","化學工業","徐旭東","蔡錫津"
="1711","永光","市","11/11","23.2","-0.2","-0.85","10","54.8","54.78","127","52.2","35.9","","","有","","","","化學工業","陳建信","陳偉望"
="1712","興農","市","11/11","48","+4.2","+9.59","10","42","42.05","202","61","34.9","","","","","","","化學工業","顏子芳","李乾珉"
="1713","國化","市","11/11","50","0","0","10","15.1","15.1","75.5","61.9","34.8","","","有","","","","化學工業","應柔爾","洪志成"
="1714","和桐","市","11/11","8.51","-0.01","-0.12","10","102","101.7","86.5","44.3","33.2","","","有","","","","化學工業","張立秋","陳怡如"
="1717","長興","市","11/11","30.45","-0.4","-1.3","10","118","117.8","359","59.9","30.6","有","","有","有","","","化學工業","高國倫","毛惠寬"
="1718","中纖","市","11/11","7.89","+0.18","+2.33","10","169","168.6","133","69.5","60.9","有","","有","","","","化學工業","王貴賢","王皆誼"
="1721","三晃","市","11/11","19.25","-0.5","-2.53","10","18.5","18.49","35.6","49.9","28.5","","","","","有","","化學工業","黃亭棣","張俊彬"
="1722","台肥","市","11/11","55.9","-0.8","-1.41","10","98","98","548","78.5","26.6","有","","","","","","化學工業","李孫榮","張滄郎"
="1723","中碳","市","11/11","97.3","-0.4","-0.41","10","23.7","23.69","231","35.8","26","","","","","","","化學工業","謝文榮","方明達"
="1725","元禎","市","11/11","40.25","-0.2","-0.49","10","18.2","18.18","73.2","47.3","24.2","","","有","","","","化學工業","許元禎","徐振隆"
="1726","永記","市","11/11","77.3","0","0","10","16.2","16.2","125","67.5","26.4","","","","","","","化學工業","張德仁","陳弘偉"
="1727","中華化","市","11/11","37.1","+0.35","+0.95","10","12.4","12.39","46","68","24.2","","","","有","","","化學工業","干文元","干凱恩"
="1730","花仙子","市","11/11","53.1","-0.1","-0.19","10","6.32","6.32","33.6","41.5","23.2","","","","","","","化學工業","蔡心心","王佳郁"
="1732","毛寶","市","11/11","28.55","+0.05","+0.18","10","4.24","4.24","12.1","45.9","25","","","","","","","化學工業","吳瑞華","陳逸弘"
="1735","日勝化","市","11/11","22","-0.25","-1.12","10","9.94","9.94","21.9","35.5","24.1","","","","","","","化學工業","何文杰","黃長澤"
="1773","勝一","市","11/11","169.5","-3.5","-2.02","10","25","25","424","45.8","15.7","","","有","","","","化學工業","孫靜源","孫啟發"
="1776","展宇","市","11/11","19.05","-0.5","-2.56","10","6.01","6.01","11.5","48.6","8.51","","","","","","","化學工業","劉漢瀛","趙偉君"
="4720","德淵","市","11/11","20.75","+0.45","+2.22","10","10.7","10.4","21.6","48.4","23.7","","","","有","","","化學工業","蕭向志","蕭向志"
="4722","國精化","市","11/11","43.9","-0.75","-1.68","10","10","10","43.9","46","22.9","","","","","","","化學工業","蔡有涼","王海城"
="4739","康普","市","11/11","60.5","+0.4","+0.67","10","11.9","11.9","72","32.4","13","","","有","有","有","","化學工業","何基丞","何柏樟"
="4755","三福化","市","11/11","125.5","-1.5","-1.18","10","10.1","10.07","126","21.7","11","","","有","","","","化學工業","巫信弘","蘇天寶"
="4763","材料-KY","市","11/11","878","+6","+0.69","10","9.89","9.92","871","10.1","9.01","","","有","有","","","化學工業","王克璋","王克璋"
="4764","雙鍵","市","11/11","44.3","0","0","10","8.55","8.55","37.9","30.7","6.86","","","","","","","化學工業","蔡茂德","陳仲平"
="4766","南寶","市","11/11","292.5","+1.5","+0.52","10","12.1","12.06","353","61.1","5.96","","","有","","","","化學工業","吳政賢","許明現"
="4770","上品","市","11/11","338","-7.5","-2.17","10","8","8","270","43.1","2.89","","","有","","","","化學工業","侯嘉生","侯嘉生"
