"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="1471","首利","市","11/11","13.75","-0.1","-0.72","10","15","15.04","20.7","42.1","25.6","","","","","有","","電子零組件業","鄭傑","鄭翔"
="1582","信錦","市","11/11","96","-4","-4","10","14.3","14.31","137","45.4","17.8","","","有","有","","","電子零組件業","陳秋郎","陳秋郎"
="2059","川湖","市","11/11","1435","+30","+2.14","10","9.53","9.53","1,368","38.1","19.5","有","","有","","","","電子零組件業","林聰吉","林淑珍"
="2308","台達電","市","11/11","401","+1","+0.25","10","260","259.8","10,416","49.2","35.9","有","","有","有","","","電子零組件業","鄭平","張訓海"
="2313","華通","市","11/11","64.7","-0.4","-0.61","10","119","119.2","771","51.2","34.3","有","","有","","","","電子零組件業","江培琨","江培琨"
="2316","楠梓電","市","11/11","52.9","+1.3","+2.52","10","18.3","18.27","96.7","46.5","33.8","","","有","","","","電子零組件業","徐漢忠","陳志康"
="2327","國巨","市","11/11","557","+9","+1.64","10","50.8","51.88","2,890","37.2","31.1","有","","有","有","","","電子零組件業","陳泰銘","王淡如"
="2328","廣宇","市","11/11","39.85","+0.65","+1.66","10","51.8","51.83","207","53.5","31","有","","有","","","","電子零組件業","李光曜","蔡明峰"
="2355","敬鵬","市","11/11","39.8","+0.5","+1.27","10","39.7","39.75","158","45.1","28.1","有","","有","","","","電子零組件業","曾劉玉枝","黃松麟"
="2367","燿華","市","11/11","31.25","-0.1","-0.32","10","66.9","66.94","209","39.9","26.9","","","有","","","","電子零組件業","張元銘","洪顯青"
="2368","金像電","市","11/11","180","-1.5","-0.83","10","49.2","49.18","885","43.2","26.7","有","","有","有","","","電子零組件業","楊承澤","楊承澤"
="2375","凱美","市","11/11","66.3","+0.2","+0.3","10","10.9","10.87","72.1","46.2","26.2","","","有","","","","電子零組件業","呂紹萍","劉文亮"
="2383","台光電","市","11/11","435","+3.5","+0.81","10","34.5","34.46","1,499","32.6","27.9","有","","有","有","","","電子零組件業","董定宇","董定宇"
="2385","群光","市","11/11","155.5","+1.5","+0.97","10","76","76.01","1,182","41.7","25.9","有","","有","","","","電子零組件業","許崑泰","呂進宗"
="2392","正崴","市","11/11","74.5","+0.3","+0.4","10","51.2","51.23","382","38.3","25.1","有","","有","有","","","電子零組件業","郭台強","郭台強"
="2402","毅嘉","市","11/11","41.6","+0.1","+0.24","10","30.8","30.75","128","35","24.8","","","有","有","","","電子零組件業","黃秋永","曾恭勝"
="2413","環科","市","11/11","26.5","+0.55","+2.12","10","12.7","12.74","33.8","40.7","26","","","","","","","電子零組件業","歐正明","歐正明"
="2415","錩新","市","11/11","25.75","-0.25","-0.96","10","9","9","23.2","52.7","26.8","","","","","","","電子零組件業","丁廣欽","蕭伊宏"
="2420","新巨","市","11/11","69.7","-0.1","-0.14","10","15.3","15.26","106","41.6","24.2","","","有","","","","電子零組件業","周進文","高銘傳"
="2421","建準","市","11/11","101","+1.6","+1.61","10","27.3","27.34","276","44.1","24.2","","","有","","","","電子零組件業","洪慶昇","洪慶昇"
="2428","興勤","市","11/11","166","+1.5","+0.91","10","12.8","12.81","213","45.3","24.2","","","有","","","","電子零組件業","隋台中","隋台中"
