"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="1101","台泥","市","11/11","32.25","+0.35","+1.1","10","775","755.1","2,435","73.9","62.8","有","有","有","有","","有","水泥工業","張安平","程耀輝"
="1102","亞泥","市","11/11","46.45","-1.1","-2.31","10","355","354.7","1,647","67.6","62.4","有","","有","有","","","水泥工業","徐旭東","李坤炎"
="1103","嘉泥","市","11/11","18.05","+0.1","+0.56","10","79","79.02","143","69.9","55","","","","","","","水泥工業","張剛綸","王立心"
="1104","環泥","市","11/11","29.9","-0.1","-0.33","10","68.7","68.67","205","64.6","53.8","","","","","","","水泥工業","博智投資股份有限公司","侯智升"
="1108","幸福","市","11/11","14.5","-0.05","-0.34","10","40.5","40.47","58.7","50.5","34.4","","","","","","","水泥工業","陳兩傳","陳明賢"
="1109","信大","市","11/11","18.65","0","0","10","34.1","34.12","63.6","60.7","32.9","","","","","","","水泥工業","楊智雄","楊大寬"
="1110","東泥","市","11/11","21.55","-0.2","-0.92","10","57.2","57.2","123","67.9","30.1","","","","","","","水泥工業","陳敏斷","吳炎輝"
