"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="1316","上曜","市","11/11","15","+0.05","+0.33","10","30.1","30","45","44.9","32.1","","","","有","","","建材營造業","張祐銘","張祐銘"
="1436","華友聯","市","11/11","121","+3","+2.54","10","11.4","11.44","138","57.8","36.6","","","有","有","","","建材營造業","陸炤廷","陸炤廷"
="1438","三地開發","市","11/11","54.5","-1.8","-3.2","10","9.12","9.12","49.7","69.1","35.9","","","","","有","","建材營造業","鍾育霖","莊峻宇"
="1439","雋揚","市","11/11","30.6","+0.25","+0.82","10","9.2","9.2","28.2","60.1","35.5","","","","","","","建材營造業","侯嘉騏","劉先雯"
="1442","名軒","市","11/11","66.6","+1","+1.52","10","36.6","36.62","244","50.3","35","","","有","","","","建材營造業","吳泓瑩","吳勝利"
="1453","大將","市","11/11","16.1","-0.1","-0.62","10","11","10.99","17.7","46.6","31.6","","","","","","","建材營造業","葉義雄","林靜怡"
="1456","怡華","市","11/11","17.65","-1.05","-5.61","10","9.37","9.37","16.5","56.3","30.9","","","","有","","","建材營造業","黃士豪","黃士豪"
="1472","三洋實業","市","11/11","59.2","-0.6","-1","10","5.25","2.06","12.2","56.1","25.8","","","","有","有","","建材營造業","蔣玉蓮","徐正哲"
="1805","寶徠","市","11/11","18.95","-0.05","-0.26","10","10.5","10.02","19","46.4","35.1","","","","有","有","","建材營造業","林瑞山","黃文正(代理總經理)"
="1808","潤隆","市","11/11","43.25","+0.6","+1.41","10","99.2","99.23","429","47.8","30","","","有","有","","","建材營造業","邱秉澤","林暐鈞"
="2442","新美齊","市","11/11","24.3","+0.25","+1.04","10","26.2","26.18","63.6","38.8","24","","","有","有","有","","建材營造業","林傳捷","紀榮村"
="2501","國建","市","11/11","25.05","+0.4","+1.62","10","116","116","290","59.9","57","","","有","","","","建材營造業","張清櫆","李虹明"
="2504","國產","市","11/11","55.8","+0.8","+1.45","10","118","118","658","70","46.7","","","有","","","","建材營造業","徐蘭英","吳志仁"
="2505","國揚","市","11/11","21.75","+0.15","+0.69","10","38","38","82.6","52.4","45","","","有","有","","","建材營造業","林子寛","彭邵齡"
="2506","太設","市","11/11","12.1","+0.25","+2.11","10","38.7","38.7","46.8","57.4","44.8","","","","有","有","","建材營造業","柳逸義","陳清暉"
="2509","全坤建","市","11/11","18.3","+0.1","+0.55","10","22.5","22.46","41.1","51.8","36.5","","","","","","","建材營造業","李勇毅","江清峰"
="2511","太子","市","11/11","10.75","+0.15","+1.42","10","162","162.3","175","51.1","33.6","","","有","有","","","建材營造業","羅智先","林宏俊"
="2515","中工","市","11/11","10.95","+0.05","+0.46","10","153","153.1","168","74.2","31.7","有","","有","","","","建材營造業","周志明","周志明"
="2516","新建","市","11/11","13.2","+0.2","+1.54","10","22.6","22.63","29.9","56.9","31.5","","","","","","","建材營造業","鄒宏基","賴調燦"
="2520","冠德","市","11/11","51.7","+2.1","+4.23","10","55.4","55.42","287","45","31","有","","有","有","","","建材營造業","馬志綱","張勝安"
="2524","京城","市","11/11","80","+4.5","+5.96","10","36.9","36.94","296","39.2","30.1","","","有","","","","建材營造業","蔡天贊","蔡天贊"
="2527","宏璟","市","11/11","34.05","+1.75","+5.42","10","27","27.03","92","37.9","29.7","","","有","","","","建材營造業","簡文祥","周家佩"
="2528","皇普","市","11/11","37.6","+0.15","+0.4","10","40.9","38.83","146","39.8","29.7","","","","有","有","","建材營造業","蘇永平","蘇永平"
="2530","華建","市","11/11","40.15","-0.25","-0.62","10","84","84","337","63.9","29.1","","","","","有","","建材營造業","鄭斯聰","黃智楨"
="2534","宏盛","市","11/11","26.2","+0.05","+0.19","10","47.4","47.42","124","38.3","28.8","","","有","","","","建材營造業","林新欽","陸永富"
="2535","達欣工","市","11/11","49.8","0","0","10","27.1","27.08","135","57.7","28.7","","","有","有","","","建材營造業","王人正","執行長：廖肇邦"
="2536","宏普","市","11/11","29.25","-0.05","-0.17","10","33.3","33.28","97.3","36.1","28.7","","","有","","","","建材營造業","華展投資股份有限公司指派代表人：游武龍","游武龍"
="2537","聯上發","市","11/11","14.35","-0.1","-0.69","10","30.1","30.06","43.1","37.2","28.2","","","","有","","","建材營造業","蘇永義","李志明"
="2538","基泰","市","11/11","16.1","+0.2","+1.26","10","44.5","44.5","71.6","45","28","","","有","有","","","建材營造業","楊儲明","馮先勉"
="2539","櫻花建","市","11/11","50.7","+0.4","+0.8","10","99.4","99.43","504","37.5","27.3","","","","","","","建材營造業","陳世英","沈淑貞"
="2540","愛山林","市","11/11","90.3","+2.8","+3.2","10","62.5","62.49","564","38.2","34.9","","","有","有","","","建材營造業","祝文宇","張境在"
