"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="2062","橋椿","市","11/11","33.75","-1.85","-5.2","10","20","20","67.5","40.3","17","","","有","","","","居家生活","楊慶祺","楊慶祺"
="3557","嘉威","市","11/11","73.1","-0.9","-1.22","10","8.03","8.03","58.7","19.6","16.7","","","","有","有","","居家生活","黃清森","吳世偉"
="6671","三能-KY","市","11/11","42.3","-0.2","-0.47","10","6.08","6.08","25.7","9.5","5.92","","","","","","","居家生活","張瑞榮","蕭凱峰"
="6754","匯僑設計","市","11/11","72.2","+3.3","+4.79","10","6.6","6.6","47.7","9.9","4.22","","","","","","","居家生活","王秀卿","楊信力"
="6807","峰源-KY","市","11/11","86.2","+0.2","+0.23","10","5.4","5.4","46.5","5.3","2.55","","","","","","","居家生活","蔡文達","蔡文達"
="8464","億豐","市","11/11","436","-11","-2.46","10","29.3","29.3","1,278","17.3","8.89","","","有","","","","居家生活","粘耿豪","粘肇紘"
="8482","商億-KY","市","11/11","63.7","+0.1","+0.16","10","10.7","10.74","68.4","10.1","6.25","","","","","","","居家生活","謝智通","謝淑韞"
="9911","櫻花","市","11/11","82.7","0","0","10","22.1","22.11","183","36.1","32.3","","","","","","","居家生活","張永杰","李惠恂"
="9924","福興","市","11/11","59","+3","+5.36","10","18.8","18.85","111","67","29.7","","","","","","","居家生活","林瑞章","陳建昆"
="9934","成霖","市","11/11","16.3","-0.2","-1.21","10","40.9","40.95","66.7","45","24.2","","","有","","","","居家生活","歐陽玄","歐陽玄"
="9935","慶豐富","市","11/11","34.8","+0.3","+0.87","10","17.4","17.78","61.9","47.7","25.8","","","","有","","","居家生活","許閔琁","許竣然"
