"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="2002","中鋼","市","11/11","23.2","-0.05","-0.22","10","1,577","1,573","3,650","52.9","49.9","有","有","有","有","","有","鋼鐵工業","黃建智","陳守道"
"2002A","中鋼特","市","11/11","41.95","-0.15","-0.36","","","3.83","16.1","","49.9","","","","","","","鋼鐵工業","",""
="2006","東和鋼鐵","市","11/11","74.2","-0.6","-0.8","10","73","73.02","542","62.5","36.3","有","","","有","","","鋼鐵工業","侯傑騰","黃炳樺"
="2007","燁興","市","11/11","10.7","-0.2","-1.83","10","53.1","53.07","56.8","46.3","36.1","","","","","有","","鋼鐵工業","吳林茂","陳森龍"
="2008","高興昌","市","11/11","31.8","0","0","10","19.1","19.09","60.7","58.8","35.9","","","","","","","鋼鐵工業","呂泰榮","勝呂榮峰"
="2009","第一銅","市","11/11","40.8","-0.65","-1.57","10","36","35.96","147","55.3","35.1","","","有","","","","鋼鐵工業","王宏仁","洪茂陽"
="2010","春源","市","11/11","18.4","-0.25","-1.34","10","64.8","64.77","119","58.8","34.9","","","","","","","鋼鐵工業","鄭毅明","洪士民"
="2012","春雨","市","11/11","24.95","-0.05","-0.2","10","30.2","30.22","75.4","59.6","33.1","","","","","","","鋼鐵工業","陳其泰","吳居諺"
="2013","中鋼構","市","11/11","53","-0.5","-0.93","10","20","20","106","46.7","32.8","","","","","","","鋼鐵工業","陳瑞騰","黃源章"
="2014","中鴻","市","11/11","21.45","+0.6","+2.88","10","144","143.6","308","41.1","32.7","有","","有","","","","鋼鐵工業","曾貴松","朱敏"
="2015","豐興","市","11/11","81.2","0","0","10","58.2","58.16","472","55.8","32.5","","","","","","","鋼鐵工業","林大鈞","林永源"
="2017","官田鋼","市","11/11","12.05","-0.1","-0.82","10","44.7","44.69","53.8","51.3","32","","","","","","","鋼鐵工業","汪振澤","謝政成"
="2020","美亞","市","11/11","28","+0.25","+0.9","10","26.7","26.7","74.8","65.1","31.5","","","有","","","","鋼鐵工業","黃春發","蕭敏志"
="2022","聚亨","市","11/11","9.96","-0.03","-0.3","10","33.7","33.72","33.6","43.9","29.6","","","","有","","","鋼鐵工業","黃文松","呂艷娟"
="2023","燁輝","市","11/11","15.3","0","0","10","198","198.4","304","46.6","29.3","","","","","","","鋼鐵工業","林義守","張振武"
="2024","志聯","市","11/11","20.7","+0.3","+1.47","10","9.75","9.75","20.2","51.2","28.9","","","","","","","鋼鐵工業","潘仲良","林信安(代理)"
="2025","千興","市","11/11","11.15","-0.05","-0.45","10","28.1","28.12","31.4","52.5","28.8","","","","","","","鋼鐵工業","魏福全","楊偉正"
="2027","大成鋼","市","11/11","35.5","+0.45","+1.28","10","243","243.4","864","38","28.1","有","","有","","","","鋼鐵工業","謝麗雲","謝榮坤"
="2028","威致","市","11/11","23.3","-0.15","-0.64","10","32.6","32.57","75.9","42","27.9","","","","","","","鋼鐵工業","郭素惠","郭素惠"
="2029","盛餘","市","11/11","25.65","-0.6","-2.29","10","32.1","32.12","82.4","51.5","27.8","","","","","","","鋼鐵工業","樽宮浩一","洪世強"
="2030","彰源","市","11/11","18.5","-0.05","-0.27","10","28.1","28.05","51.9","40.1","25.9","","","","","","","鋼鐵工業","張炳耀","張炳耀"
="2031","新光鋼","市","11/11","50.8","-0.7","-1.36","10","32.1","32.11","163","57.9","24.2","","","有","","","","鋼鐵工業","粟明德","曾明山"
="2032","新鋼","市","11/11","15.35","0","0","10","13.1","13.05","20","53.3","24.2","","","","","","","鋼鐵工業","蔡政廷","成主賜"
="2033","佳大","市","11/11","24.55","-1.1","-4.29","10","8.07","8.07","19.8","51.6","24.2","","","","","","","鋼鐵工業","吳大和","陳正平"
="2034","允強","市","11/11","20.5","-0.85","-3.98","10","47","52.02","107","51.8","25.1","","","","有","","","鋼鐵工業","張金鈺","張金鈺"
="2038","海光","市","11/11","18.55","+0.05","+0.27","10","19","19.03","35.3","55.6","15.9","","","","","","","鋼鐵工業","黃韋翰","黃燦明"
="2069","運錩","市","11/11","18.75","+0.15","+0.81","10","16.6","16.64","31.2","37.3","8.65","","","","有","","","鋼鐵工業","顏德和","顏德和"
="2211","長榮鋼","市","11/11","104.5","+2","+1.95","10","41.7","41.71","436","51.8","3.59","","","有","","","","鋼鐵工業","林耿立","劉邦恩"
="3004","豐達科","市","11/11","88.8","+0.3","+0.34","10","5.46","5.44","48.3","27.1","22.7","","","","","","","鋼鐵工業","蔡豐賜","林威村"
="5007","三星","市","11/11","55.8","-0.1","-0.18","10","29.5","29.49","165","59.4","26.8","","","","","","","鋼鐵工業","柯吉源","陳信志"
="5538","東明-KY","市","11/11","34.8","-0.5","-1.42","10","20.1","20.12","70","15","10.9","","","","","","","鋼鐵工業","蔡清東","蔡弘泉"
="9958","世紀鋼","市","11/11","185","-2.5","-1.33","10","25.7","25.69","475","37.1","16.7","有","","有","有","","","鋼鐵工業","賴文祥","李育慶"
