"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="2258","鴻華先進-創","市","11/11","42","-0.95","-2.21","10","174","174.1","731","4","0.98","","","","","","","汽車工業","劉揚偉","李秉彥"
="2497","怡利電","市","11/11","71.3","+1.2","+1.71","10","12.3","12.28","87.6","41.4","22.8","","","有","有","","","汽車工業","陳錫勳","陳錫勳"
="3346","麗清","市","11/11","38.1","-0.45","-1.17","10","11.5","11.52","43.9","25.2","7.9","","","","有","","","汽車工業","劉美秀","劉美秀"
="4551","智伸科","市","11/11","127.5","+5","+4.08","10","11.5","11.52","147","37.7","9.26","","","有","有","","","汽車工業","六方精機股份有限公司","林慈青"
="4557","永新-KY","市","11/11","141","+0.5","+0.36","10","4.2","4.2","59.2","13.7","9.09","","","","","","","汽車工業","紀經得","許耀仁"
="4569","六方科-KY","市","11/11","242","+2","+0.83","10","3.1","3.1","75","4.8","1.29","","","","","","","汽車工業","盧經緯","葛仲林"
="4581","光隆精密-KY","市","11/11","52.9","-0.2","-0.38","10","3.39","3.39","17.9","9","4.68","","","","","","","汽車工業","呂皇甫","黃雨亭"
="6288","聯嘉","市","11/11","31.8","+1.45","+4.78","10","21.5","21.48","68.3","29.4","6.51","","","","有","","","汽車工業","黃國欣","黃昉鈺"
="6605","帝寶","市","11/11","236.5","+4","+1.72","10","16.6","16.58","392","44.6","20.7","","","有","有","","","汽車工業","謝綉氣","許 (余又) 銘"
="6988","威力暘-創","市","11/11","22.95","+0.05","+0.22","10","4.89","4.89","11.2","16.6","0.06","","","","","","","汽車工業","劉一郎","劉一郎"
