"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="1319","東陽","市","11/11","107.5","+0.5","+0.47","10","59.1","59.15","636","57","29.9","有","","有","","","","汽車工業","吳永茂","吳永祥"
="1338","廣華-KY","市","11/11","31.05","-0.85","-2.66","10","8.38","8.38","26","14.9","11.9","","","","","","","汽車工業","余澤民","黃建中"
="1339","昭輝","市","11/11","56","-0.1","-0.18","10","7.41","7.41","41.5","38.7","12.6","","","","","","","汽車工業","禾翰投資股份有限公司","林睿澤"
="1512","瑞利","市","11/11","7.28","-0.07","-0.95","10","9.82","9.82","7.15","54.4","30.8","","","","","有","","汽車工業","吳明燦","林維輝"
="1521","大億","市","11/11","36.65","0","0","10","7.62","7.62","27.9","48.8","27.1","","","","","","","汽車工業","吳俊億","莊智清"
="1522","堤維西","市","11/11","62.3","+1","+1.63","10","34.3","31.29","195","38.2","27.1","","","有","","","有","汽車工業","吳國禎","蘇彥碩"
"1522A","堤維西甲特","市","11/11","46.45","-0.05","-0.11","","","3","13.9","","3.26","","","","","","","汽車工業","",""
="1524","耿鼎","市","11/11","37","+2.4","+6.94","10","16.5","16.53","61.2","38.7","26","","","","","","","汽車工業","李茂源","李茂源"
="1525","江申","市","11/11","65.6","0","0","10","7.34","7.34","48.2","61.5","25.5","","","","","","","汽車工業","陳昭文","曾火冏誌"
="1533","車王電","市","11/11","45","0","0","10","9.85","9.85","44.3","42.3","23.6","","","","","","","汽車工業","蔡裕慶","蔡裕慶"
="1536","和大","市","11/11","60.7","-0.7","-1.14","10","28","27.95","170","51.8","24.6","有","","有","","","","汽車工業","沈國榮","陳俊智"
="1563","巧新","市","11/11","57.6","-0.7","-1.2","10","23.8","23.78","137","30.4","0.5","","","","","","","汽車工業","黃聰榮","黃聰榮"
="1568","倉佑","市","11/11","28.45","-0.25","-0.87","10","10.3","10.31","29.3","39.8","10.5","","","","","","","汽車工業","蘇祈澤","蘇祈祜"
="1587","吉茂","市","11/11","41.95","-0.65","-1.53","10","7.21","7.21","30.2","40.2","6.58","","","","","","","汽車工業","劉彥狄","劉彥狄"
="2115","六暉-KY","市","11/11","31.4","-0.2","-0.63","10","10.4","10.44","32.8","15.1","10.9","","","","","","","汽車工業","吳金鹿","許秀華"
="2201","裕隆","市","11/11","56.3","+0.1","+0.18","10","107","107","602","71.2","48.3","有","","有","有","","","汽車工業","嚴陳莉蓮","許國興"
="2204","中華","市","11/11","71.4","+0.9","+1.28","10","55.4","55.36","395","55.4","33.7","","","有","","","","汽車工業","嚴陳莉蓮","陳昭文"
="2206","三陽工業","市","11/11","70.7","+0.3","+0.43","10","79.7","79.75","564","63.2","28.3","","","有","","","","汽車工業","吳清源","吳清源"
="2207","和泰車","市","11/11","639","-8","-1.24","10","55.7","55.71","3,560","69.6","27.7","","","","","","","汽車工業","黃南光","蘇純興"
="2227","裕日車","市","11/11","99.1","-3.9","-3.79","10","30","30","297","21.1","19.9","","","","","","","汽車工業","嚴陳莉蓮","鐘文川"
="2228","劍麟","市","11/11","108.5","+1.5","+1.4","10","7.95","7.95","86.3","47.5","11","","","有","有","","","汽車工業","黃正怡","黃正忠"
="2231","為升","市","11/11","107","+1.5","+1.42","10","14.1","14.09","151","35.8","15.6","有","","有","","","","汽車工業","尤山泉","尤山泉"
="2233","宇隆","市","11/11","160.5","+0.5","+0.31","10","6.03","6.03","96.8","36.9","13","","","有","","","","汽車工業","劉俊昌","蔡銘東"
="2236","百達-KY","市","11/11","119","+1","+0.85","10","5.33","5.29","63","13.4","9.45","","","","有","","","汽車工業","黃亮茳","黃泓杰"
="2239","英利-KY","市","11/11","40.65","-2.8","-6.44","10","12","12.03","48.9","9.8","8.8","","","","","","","汽車工業","林上煒","林上琦"
="2241","艾姆勒","市","11/11","31.55","+0.4","+1.28","10","10.5","10.46","33","13.4","4.22","","","","","","","汽車工業","林啟聖","石志鴻"
="2243","宏旭-KY","市","11/11","20.5","-1.1","-5.09","10","6.94","6.94","14.2","9.6","7.13","","","","有","","","汽車工業","林維源","林維源"
="2247","汎德永業","市","11/11","293.5","0","0","10","8.07","8.07","237","45","4.09","","","","","","","汽車工業","唐慕蓮","杜黃旭"
="2250","IKKA-KY","市","11/11","97.1","+3.5","+3.74","10","3.15","3.13","30.4","8.6","3.45","","","","有","","","汽車工業","胡湘麒","小原正美"
="2254","巨鎧精密-創","市","11/11","79.3","-1.7","-2.1","10","6.39","6.39","50.7","11.2","1.07","","","","","","","汽車工業","吳柏樺","呂政偉"
