"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="1503","士電","市","11/11","215","0","0","10","52.1","52.1","1,120","69","54.9","有","","有","","","","電機機械","許育瑞","謝漢章"
="1504","東元","市","11/11","50.5","-0.1","-0.2","10","214","213.9","1,080","68.4","51","有","","有","有","","","電機機械","利明献","范炘"
="1506","正道","市","11/11","13.7","0","0","10","30","30.04","41.2","59.7","44.3","","","","","有","","電機機械","謝麗雲","羅仕溢"
="1513","中興電","市","11/11","170.5","+3.5","+2.1","10","50.3","50.31","858","68.5","30.7","有","","有","有","","","電機機械","江馥年","郭慧娟"
="1514","亞力","市","11/11","114","0","0","10","26.7","26.75","305","56.1","30.6","","","有","有","","","電機機械","慧德實業有限公司代表人宋和業","鄭朝彬"
="1515","力山","市","11/11","33","-0.85","-2.51","10","18.1","18.15","59.9","51.5","29.8","","","有","","","","電機機械","王冠祥","羅政洲"
="1517","利奇","市","11/11","14.95","0","0","10","22.6","22.57","33.7","51.5","29.6","","","","","","","電機機械","林育新","林宜賢"
="1519","華城","市","11/11","645","+25","+4.03","10","28.7","28.72","1,852","55.2","27.6","","","有","","","","電機機械","許邦福","許逸德/許逸晟(執行長)"
="1526","日馳","市","11/11","26.35","-0.8","-2.95","10","6","6","15.8","52.5","24.6","","","","有","","","電機機械","徐義雄","徐義雄"
="1527","鑽全","市","11/11","44.05","+1.05","+2.44","10","13.9","13.86","61","41.4","25.8","","","","","","","電機機械","賴伯彥先生","賴伯峰先生"
="1528","恩德","市","11/11","19.3","-0.45","-2.28","10","19.1","19.13","36.9","52.3","26.7","","","","","","","電機機械","廖文嘉","李明哲"
="1529","樂事綠能","市","11/11","26.85","+0.4","+1.51","10","15.5","15.51","41.6","46.5","25.9","","","","","","","電機機械","陳介仁","陳連聰"
="1530","亞崴","市","11/11","32.1","+0.1","+0.31","10","9.66","9.66","31","38.3","24.2","","","","","","","電機機械","楊德華","楊尚儒"
="1531","高林股","市","11/11","16.75","-0.05","-0.3","10","18.2","18.21","30.5","59.1","25.4","","","","","","","電機機械","林陳雅子","林培嘉"
="1532","勤美","市","11/11","37.8","+0.4","+1.07","10","39.1","38.32","145","52.2","24.2","","","有","有","","","電機機械","林廷芳","林靖誼/麥聖偉"
="1535","中宇","市","11/11","61.6","-0.8","-1.28","10","12.4","12.37","76.2","31.7","24.9","","","有","有","","","電機機械","謝英斌","李志豐"
="1537","廣隆","市","11/11","149.5","0","0","10","8.21","8.21","123","34.8","22.8","","","","有","","","電機機械","李瑞勳","楊瑞祥"
="1538","正峰","市","11/11","17.35","-0.7","-3.88","10","5.38","5.38","9.34","48.6","25.8","","","","","有","","電機機械","陳永倫","陳永倫"
="1539","巨庭","市","11/11","27.05","+0.05","+0.19","10","6.54","6.54","17.7","43.2","23.5","","","","","","","電機機械","莊博彥","張永和"
="1540","喬福","市","11/11","40.25","+0.1","+0.25","10","8.55","8.55","34.4","40.3","25.6","","","","","","","電機機械","林聖明","詹正淦"
="1541","錩泰","市","11/11","28.95","-0.85","-2.85","10","7.88","7.88","22.8","35.6","21.7","","","","","","","電機機械","張經金","張經金"
="1558","伸興","市","11/11","106","-2","-1.85","10","6.65","6.65","70.5","49.9","16.9","","","","","","","電機機械","林志誠","劉棟樑"
="1560","中砂","市","11/11","320.5","+2","+0.63","10","14.5","14.51","465","60.3","19.8","","","有","","","","電機機械","林伯全","謝榮哲"
="1583","程泰","市","11/11","61.2","-1.2","-1.92","10","11","11.04","67.6","49.1","16.8","","","","","","","電機機械","楊德華","楊舒涵"
="1589","永冠-KY","市","11/11","39.85","+1.4","+3.64","10","13.3","13.31","53.1","16.8","12.5","","","","有","","","電機機械","張賢銘","李熔"
="1590","亞德客-KY","市","11/11","927","-4","-0.43","10","20","20","1,854","15.2","13.9","有","","有","","","","電機機械","王世忠","王世忠"
="1597","直得","市","11/11","94.3","-1.5","-1.57","10","8.93","8.93","84.2","26.1","11.9","","","有","","","","電機機械","陳麗芬","許明哲"
="2049","上銀","市","11/11","252","-1.5","-0.59","10","35.4","35.38","892","35.1","15.4","有","","有","","","","電機機械","卓文恒","蔡惠卿"
="2371","大同","市","11/11","46.3","-0.15","-0.32","10","234","234","1,083","74.6","62.8","有","","有","有","","","電機機械","王光祥","沈柏延"
="3167","大量","市","11/11","146.5","-3.5","-2.33","10","8.27","8.27","121","43.9","11.1","","","","有","","","電機機械","王作京","簡禎祈"
="4526","東台","市","11/11","33.15","-0.85","-2.5","10","25.5","25.48","84.5","55.8","24.1","","","","","","","電機機械","嚴瑞雄","嚴瑞雄"
="4532","瑞智","市","11/11","27.1","+0.3","+1.12","10","50.5","50.49","137","34.9","22.7","","","有","有","","","電機機械","陳盛沺","馮明法"
