"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="2302","麗正","市","11/11","19.95","+0.8","+4.18","10","16.6","16.63","33.2","48.8","39.8","","","","","","","半導體業","林怡岑","林怡岑"
="2303","聯電","市","11/11","46.55","-0.1","-0.21","10","1,253","1,253","5,832","44.5","39.3","有","有","有","有","","","半導體業","洪嘉聰","簡山傑、王石"
="2329","華泰","市","11/11","37.3","+0.2","+0.54","10","74","56.03","209","53.4","30.6","","","有","","","有","半導體業","董悦明","涂家榮"
="2330","台積電","市","11/11","1085","-5","-0.46","10","2,593","2,593","281,370","37.7","30.2","有","有","有","有","","","半導體業","魏哲家","總裁: 魏哲家"
="2337","旺宏","市","11/11","22.2","-0.6","-2.63","10","186","185.6","412","34.9","29.7","有","","有","","有","","半導體業","吳敏求","盧志遠"
="2338","光罩","市","11/11","57","0","0","10","25.6","25.64","146","36.1","29.6","有","","有","有","","","半導體業","陳正翔","陳立惇"
="2340","台亞","市","11/11","33.55","-0.75","-2.19","10","43.9","43.86","147","40.9","29.5","有","","有","","有","","半導體業","李國光","蔡育軒"
="2342","茂矽","市","11/11","33.9","+2.05","+6.44","10","15.7","15.74","53.4","37.8","29.2","","","","","","","半導體業","唐亦仙","盧建志"
="2344","華邦電","市","11/11","19.2","-0.3","-1.54","10","450","450","864","37.1","29.1","有","","有","","","","半導體業","焦佑鈞","陳沛銘"
="2351","順德","市","11/11","101","+1","+1","10","18.2","18.21","184","57.1","28.6","","","有","","","","半導體業","陳朝雄","陳維德"
="2363","矽統","市","11/11","75.9","-0.8","-1.04","10","48.7","48.72","370","37.2","27.3","","","有","","","","半導體業","洪嘉聰","戎樂天"
="2369","菱生","市","11/11","19.6","+0.2","+1.03","10","38","38.01","74.5","51.6","26.6","","","有","","","","半導體業","葉樹泉","蔡澤松"
="2379","瑞昱","市","11/11","499","-1","-0.2","10","51.3","51.29","2,559","37.1","26","有","","有","","","","半導體業","邱順建","顏光裕"
="2388","威盛","市","11/11","111","+0.5","+0.45","10","55.5","55.51","616","32.1","25.7","有","","有","","","","半導體業","陳文琦","陳文琦"
="2401","凌陽","市","11/11","29.7","-0.4","-1.33","10","59.2","59.2","176","34.3","27.2","有","","有","","","","半導體業","黃洲杰","黃洲杰"
="2408","南亞科","市","11/11","40.4","-0.3","-0.74","10","310","309.9","1,252","29.7","24.2","有","","有","有","","","半導體業","吳嘉昭","李培瑛"
="2434","統懋","市","11/11","32","0","0","10","3.7","3.7","11.8","37.7","24.2","","","","","有","","半導體業","翁淑貞","唐永渝"
